alert_date,ticker,company,earnings_date,sent_at
2026-06-09,ORCL,Oracle,2026-06-10,2026-06-09 19:01:23 EDT
2026-06-23,MU,Micron,2026-06-24,2026-06-23 18:48:55 EDT
2026-07-13,AEHR,Aehr Test Systems,2026-07-14,2026-07-13 18:30:16 EDT
2026-07-14,ASML,ASML,2026-07-15,2026-07-14 18:32:23 EDT
2026-07-15,TSM,TSMC,2026-07-16,2026-07-15 18:32:41 EDT
2026-07-21,GEV,GE Vernova,2026-07-22,2026-07-21 18:29:13 EDT
2026-07-21,NOW,ServiceNow,2026-07-22,2026-07-21 18:29:19 EDT
2026-07-22,NOK,Nokia,2026-07-23,2026-07-22 18:35:29 EDT
2026-07-27,GLW,Corning,2026-07-28,2026-07-27 18:34:50 EDT
2026-07-27,STX,Seagate Technology,2026-07-28,2026-07-27 18:34:50 EDT
2026-07-27,BE,Bloom Energy,2026-07-28,2026-07-27 18:34:51 EDT
2026-07-27,KLAC,KLA,2026-07-28,2026-07-27 18:34:51 EDT
2026-07-28,VRT,Vertiv,2026-07-29,2026-07-28 18:35:40 EDT
2026-07-28,FORM,FormFactor,2026-07-29,2026-07-28 18:35:41 EDT
2026-07-28,APH,Amphenol,2026-07-29,2026-07-28 18:35:42 EDT
2026-07-28,EQIX,Equinix,2026-07-29,2026-07-28 18:35:42 EDT
