sent_at,accession_number,ticker,company,form,filing_date,filing_index_url
2026-06-09 23:01:34,0001730168-26-000054,AVGO,Broadcom,10-Q,2026-06-09,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000054/0001730168-26-000054-index.html
2026-06-09 23:01:34,0001104659-26-071683,NOK,Nokia,6-K,2026-06-09,https://www.sec.gov/Archives/edgar/data/924613/000110465926071683/0001104659-26-071683-index.html
2026-06-09 23:01:34,0001819810-26-000078,RDW,Redwire,8-K,2026-06-09,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000078/0001819810-26-000078-index.html
2026-06-09 23:01:34,0001104659-26-071845,MU,Micron,8-K,2026-06-09,https://www.sec.gov/Archives/edgar/data/723125/000110465926071845/0001104659-26-071845-index.html
2026-06-10 23:10:14,0001046179-26-000367,TSM,TSMC,6-K,2026-06-10,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000367/0001046179-26-000367-index.html
2026-06-10 23:10:14,0001769628-26-000270,CRWV,CoreWeave,8-K,2026-06-10,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000270/0001769628-26-000270-index.html
2026-06-10 23:10:14,0001193125-26-265848,ORCL,Oracle,8-K,2026-06-10,https://www.sec.gov/Archives/edgar/data/1341439/000119312526265848/0001193125-26-265848-index.html
2026-06-11 23:08:12,0001193125-26-266777,AVGO,Broadcom,8-K,2026-06-11,https://www.sec.gov/Archives/edgar/data/1730168/000119312526266777/0001193125-26-266777-index.html
2026-06-11 23:08:12,0000950142-26-001733,ETN,Eaton,8-K,2026-06-11,https://www.sec.gov/Archives/edgar/data/1551182/000095014226001733/0000950142-26-001733-index.html
2026-06-11 23:08:12,0001769628-26-000278,CRWV,CoreWeave,8-K,2026-06-11,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000278/0001769628-26-000278-index.html
2026-06-11 23:08:12,0001193125-26-267688,MRVL,Marvell,8-K,2026-06-11,https://www.sec.gov/Archives/edgar/data/1835632/000119312526267688/0001193125-26-267688-index.html
2026-06-11 23:08:12,0001104659-26-072623,RGTI,Rigetti Computing,8-K,2026-06-11,https://www.sec.gov/Archives/edgar/data/1838359/000110465926072623/0001104659-26-072623-index.html
