accession_number,ticker,company,cik,form,filing_date,report_date,acceptance_datetime,primary_document,primary_doc_description,filing_url,filing_index_url,first_seen_at,alert_sent
0001849056-26-000028,OKLO,Oklo,0001849056,8-K,2026-06-08,2026-06-03,2026-06-08T16:38:12.000Z,oklo-20260603.htm,8-K,https://www.sec.gov/Archives/edgar/data/1849056/000184905626000028/oklo-20260603.htm,https://www.sec.gov/Archives/edgar/data/1849056/000184905626000028/0001849056-26-000028-index.html,2026-06-08 21:15:59,False
0001907982-26-000084,QBTS,D-Wave Quantum,0001907982,8-K,2026-06-08,2026-06-04,2026-06-08T16:05:59.000Z,qbts-20260604.htm,8-K,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000084/qbts-20260604.htm,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000084/0001907982-26-000084-index.html,2026-06-08 21:16:00,False
0001730168-26-000054,AVGO,Broadcom,0001730168,10-Q,2026-06-09,2026-05-03,2026-06-09T09:06:09.000Z,avgo-20260503.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000054/avgo-20260503.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000054/0001730168-26-000054-index.html,2026-06-09 23:01:25,True
0001104659-26-071683,NOK,Nokia,0000924613,6-K,2026-06-09,2026-06-09,2026-06-09T12:23:14.000Z,tm2617341d1_6k.htm,FORM 6-K,https://www.sec.gov/Archives/edgar/data/924613/000110465926071683/tm2617341d1_6k.htm,https://www.sec.gov/Archives/edgar/data/924613/000110465926071683/0001104659-26-071683-index.html,2026-06-09 23:01:29,True
0001819810-26-000078,RDW,Redwire,0001819810,8-K,2026-06-09,2026-06-09,2026-06-09T08:05:07.000Z,rdw-20260609.htm,8-K,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000078/rdw-20260609.htm,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000078/0001819810-26-000078-index.html,2026-06-09 23:01:30,True
0001104659-26-071845,MU,Micron,0000723125,8-K,2026-06-09,2026-06-09,2026-06-09T16:13:47.000Z,tm2617112d1_8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/723125/000110465926071845/tm2617112d1_8k.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465926071845/0001104659-26-071845-index.html,2026-06-09 23:01:32,True
0001046179-26-000367,TSM,TSMC,0001046179,6-K,2026-06-10,2026-05-31,2026-06-10T10:18:57.000Z,tsm-revenue20260610.htm,6-K,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000367/tsm-revenue20260610.htm,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000367/0001046179-26-000367-index.html,2026-06-10 23:10:06,True
0001769628-26-000270,CRWV,CoreWeave,0001769628,8-K,2026-06-10,2026-06-08,2026-06-10T16:20:16.000Z,crwv-20260608.htm,8-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000270/crwv-20260608.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000270/0001769628-26-000270-index.html,2026-06-10 23:10:08,True
0001193125-26-265848,ORCL,Oracle,0001341439,8-K,2026-06-10,2026-06-10,2026-06-10T16:13:46.000Z,orcl-20260610.htm,8-K,https://www.sec.gov/Archives/edgar/data/1341439/000119312526265848/orcl-20260610.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526265848/0001193125-26-265848-index.html,2026-06-10 23:10:12,True
0001193125-26-266777,AVGO,Broadcom,0001730168,8-K,2026-06-11,2026-06-11,2026-06-11T09:07:29.000Z,d152717d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1730168/000119312526266777/d152717d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526266777/0001193125-26-266777-index.html,2026-06-11 23:08:02,True
