date,fear_greed_index,level,source,status,error_message,change_1d,change_5d,change_20d,updated_at
2026-06-26,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-06-26
2026-06-29,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-06-29
2026-06-30,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-06-30
2026-07-01,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-01
2026-07-02,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-02
2026-07-03,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-03
2026-07-06,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-06
2026-07-07,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-07
2026-07-08,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-08
2026-07-09,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-09
2026-07-10,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-10
2026-07-13,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-13
2026-07-14,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-14
2026-07-15,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-15
2026-07-16,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-16
2026-07-17,,unknown,cnn_unofficial,failed,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint,,,,2026-07-17
