ticker,company,sector,industry_group,theme,subtheme,supply_chain_layer,business_quality_score,latest_close,daily_return,weekly_return,monthly_return,ma20,ma50,ma200,above_20dma,above_50dma,above_200dma,high_52w,low_52w,distance_to_52w_high,latest_volume,avg_volume_20d,volume_ratio,updated_at
NVDA,NVIDIA,Technology,Semiconductor,AI Infrastructure,GPU,Compute,10,207.39999389648438,-0.02400002872242646,0.022783288021496872,-0.02377031359990145,202.21699905395508,209.68210174560548,192.09270233154297,True,False,True,235.465576171875,164.97772216796875,-0.11919186970627305,116253420,143861946.0,0.8080901394174106,2026-07-16
AVGO,Broadcom,Technology,Semiconductor,AI Infrastructure,Networking,Connectivity,9,374.45001220703125,-0.05029417326179331,-0.06646549355076381,-0.047970132123671294,382.8794570922852,403.6531207275391,362.2575604248047,False,False,True,480.8090515136719,276.5635681152344,-0.2212084796902296,22216413,26945615.65,0.824490829549853,2026-07-16
ANET,Arista,Technology,Networking Equipment,AI Infrastructure,Networking,Connectivity,8,168.55999755859375,-0.019543977699730375,-0.08733556050458025,-0.0031344183025339145,170.66900100708008,160.69599975585936,144.60774967193603,False,True,True,186.9600067138672,109.77999877929688,-0.09841681907635846,6959331,8771921.55,0.7933644823807161,2026-07-16
CRDO,Credo,Technology,Semiconductor,AI Infrastructure,Optical,Connectivity,7,207.97000122070312,-0.08278205794180782,-0.2171277771542407,-0.1982961401458082,254.5592483520508,228.77019989013672,162.55625022888182,False,False,True,302.5199890136719,87.80999755859375,-0.31254129058128366,7930278,9090463.9,0.8723733009929229,2026-07-16
TSM,TSMC,Technology,Semiconductor Foundry,AI Infrastructure,Foundry,Manufacturing,9,409.739990234375,-0.02321927266343704,-0.062294035502107215,-0.07172633461688305,439.05800170898436,425.0879876708984,349.70428298950196,False,False,True,477.57000732421875,224.84336853027344,-0.14203156825088148,24793300,15548270.0,1.5946018431632587,2026-07-16
ASML,ASML,Technology,Semicap Equipment,AI Infrastructure,Equipment,Manufacturing Equipment,10,1784.8699951171875,-0.016746833301368946,-0.010741307957773283,-0.056951611549835524,1821.6544982910157,1712.3880004882812,1350.3397625732423,False,True,True,1989.43994140625,686.0034790039062,-0.10282790750871362,2568853,2223317.65,1.1554142971878085,2026-07-16
VRT,Vertiv,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,7,294.1099853515625,-0.034343571990400945,-0.09202897888500616,-0.057128226661874115,315.96849822998047,322.98304138183596,239.99356887817382,False,False,True,376.1517333984375,121.68595123291016,-0.21810812170303773,5004167,6598073.35,0.7584285191373328,2026-07-16
ETN,Eaton,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,8,396.2699890136719,-0.04018310547524662,-0.023556656419944977,-0.02650716997404967,409.7044967651367,404.2107275390625,371.4506005859375,False,False,True,435.7799987792969,313.97064208984375,-0.09066503712033613,3202608,2399185.4,1.3348730781706157,2026-07-16
GEV,GE Vernova,Industrials,Power Equipment,AI Infrastructure,Power,Grid Infrastructure,7,1036.219970703125,-0.018061612145213735,-0.03630753372015538,0.0589124568987589,1085.0664916992187,1036.7610620117186,814.1695626831055,False,False,True,1174.8599853515625,546.9464721679688,-0.11800556353696157,2818629,3002271.45,0.9388321632276122,2026-07-16
CEG,Constellation Energy,Utilities,Power Generation,AI Infrastructure,Energy,Power Supply,6,251.77000427246094,-0.02458201267641469,0.004107835832862117,-0.04032781240675909,256.3622512817383,268.81719268798827,312.54131896972655,False,False,False,402.32196044921875,236.5,-0.3742076520224169,2768769,3655938.45,0.7573346865289813,2026-07-16
NBIS,Nebius,Technology,AI Cloud Infrastructure,AI Infrastructure,NeoCloud,AI Cloud,7,171.77000427246094,-0.13904060447169486,-0.2055041318359394,-0.33952397648713784,235.0794990539551,224.79579986572264,137.51712543487548,False,False,True,286.69000244140625,50.400001525878906,-0.4008510837151801,24829063,18400688.15,1.3493551326774702,2026-07-16
CRWV,CoreWeave,Technology,AI Cloud Infrastructure,AI Infrastructure,NeoCloud,AI Cloud,8,72.91000366210938,-0.054590235146993016,-0.18717941869965515,-0.3167462816264002,93.03600006103515,102.98469940185547,98.27052486419677,False,False,False,148.75,64.55000305175781,-0.5098487148765756,24807100,28677580.0,0.8650346368138455,2026-07-16
MRVL,Marvell,Technology,Semiconductor,AI Infrastructure,Networking,Connectivity,8,188.3000030517578,-0.08707452697271789,-0.22577197543812477,-0.39022776622402233,256.450936126709,235.1008822631836,129.2449920272827,False,False,True,316.3519592285156,62.17753219604492,-0.4047768709542272,34563237,44352381.85,0.7792870542306625,2026-07-16
COHR,Coherent,Technology,Optical Components,AI Infrastructure,Optical,Connectivity,7,276.9599914550781,-0.0748881457080286,-0.1536486990580994,-0.3307558623962803,352.8125,366.60780029296876,246.0150001525879,False,False,True,426.8900146484375,86.55000305175781,-0.3512146408878485,4943536,5272341.8,0.9376357200513822,2026-07-16
NOK,Nokia,Technology,Telecom Infrastructure,AI Infrastructure,AI-RAN,Telecom Edge,5,10.380000114440918,-0.07733332316080732,-0.19534880454333414,-0.29959511955549767,12.710499906539917,13.789999961853027,8.918449993133544,False,False,True,16.850000381469727,4.050000190734863,-0.38397626828210607,137308279,89900098.95,1.5273429128967604,2026-07-16
TEAM,Atlassian,Technology,Enterprise Software,Software,Developer Tools,SaaS,8,92.36000061035156,0.006429159734852474,0.018189852745366775,0.008847597286652409,84.7875,89.1340998840332,112.12467494964599,True,True,False,203.0,57.150001525878906,-0.545024627535214,2748389,4167404.45,0.6594965842588184,2026-07-16
DDOG,Datadog,Technology,Observability Software,Software,Cloud Software,SaaS,9,262.32000732421875,-0.008091901232715859,-0.024832686527067827,0.1254022542604354,248.3129997253418,230.945,161.70855018615723,True,True,True,277.489990234375,102.61499786376953,-0.0546685770443226,3104768,4566198.4,0.67994592613409,2026-07-16
RDW,Redwire,Industrials,Space Infrastructure,Space Economy,Space Infrastructure,Space Hardware,6,8.449999809265137,-0.09722220948618654,-0.19293222600240778,-0.4302090456684601,11.210000038146973,14.150200061798095,10.08315000295639,False,False,False,25.899999618530273,5.059999942779541,-0.6737451763041902,17127275,23614738.75,0.7252790378635885,2026-07-16
PL,Planet Labs,Technology,Earth Observation,Space Economy,Satellite Data,Space Software,6,22.09000015258789,-0.11285138590328392,-0.18786766422867318,-0.27763243271091687,28.00299997329712,35.305600013732914,25.482699980735777,False,False,False,51.400001525878906,6.179999828338623,-0.5702334728245873,18846361,12720958.05,1.481520568334867,2026-07-16
UUUU,Energy Fuels,Energy,Nuclear Fuel,Nuclear,Nuclear Fuel,Upstream Nuclear,6,11.670000076293945,-0.07892659778834876,-0.13491473133459975,-0.253836328636894,14.105000066757203,16.48140016555786,18.331850028038026,False,False,False,27.719999313354492,8.470000267028809,-0.5790043158236384,12205276,9481803.8,1.287231444295441,2026-07-16
