date,nav,shares_outstanding,total_net_assets
2003-12-01,25.15,,
2003-12-02,25.13,,
2003-12-03,25.32,,
2003-12-04,25.55,,
2003-12-05,25.27,,
2003-12-08,25.69,,
2003-12-09,25.73,,
2003-12-10,25.37,,
2003-12-11,25.68,,
2003-12-12,25.87,,
2003-12-15,25.77,,
2003-12-16,25.8,,
2003-12-17,25.94,,
2003-12-18,26.22,,
2003-12-19,26.05,,
2003-12-22,26.32,,
2003-12-23,26.33,,
2003-12-24,26.25,,
2003-12-26,26.46,,
2003-12-29,26.93,,
2003-12-30,26.7,,
2003-12-31,26.75,,
2004-01-02,26.59,,
2004-01-05,27.09,,
2004-01-06,26.84,,
2004-01-07,26.73,,
2004-01-08,27.02,,
2004-01-09,26.51,,
2004-01-12,26.47,,
2004-01-13,26.19,,
2004-01-14,26.28,,
2004-01-15,26.03,,
2004-01-16,26.09,,
2004-01-20,26.15,,
2004-01-21,26.19,,
2004-01-22,25.89,,
2004-01-23,25.39,,
2004-01-26,25.6,,
2004-01-27,25.57,,
2004-01-28,25.33,,
2004-01-29,25.21,,
2004-01-30,25.5,,
2004-02-02,25.38,,
2004-02-03,25.22,,
2004-02-04,25.05,,
2004-02-05,25.38,,
2004-02-06,25.92,,
2004-02-09,25.92,,
2004-02-10,26.07,,
2004-02-11,26.71,,
2004-02-12,26.62,,
2004-02-13,26.4,,
2004-02-17,26.69,,
2004-02-18,26.58,,
2004-02-19,26.74,,
2004-02-20,26.49,,
2004-02-23,26.54,,
2004-02-24,26.64,,
2004-02-25,26.73,,
2004-02-26,26.7,,
2004-02-27,26.81,,
2004-03-01,27.25,,
2004-03-02,26.9,,
2004-03-03,26.78,,
2004-03-04,26.9,,
2004-03-05,26.9,,
2004-03-08,26.63,,
2004-03-09,26.21,,
2004-03-10,25.48,,
2004-03-11,25.27,,
2004-03-12,25.66,,
2004-03-15,25.04,,
2004-03-16,25.27,,
2004-03-17,25.66,,
2004-03-18,25.62,,
2004-03-19,25.53,,
2004-03-22,24.98,,
2004-03-23,25.07,,
2004-03-24,24.96,,
2004-03-25,25.63,,
2004-03-26,25.66,,
2004-03-29,26.08,,
2004-03-30,26.25,,
2004-03-31,26.19,,
2004-04-01,26.32,,
2004-04-02,26.73,,
2004-04-05,26.67,,
2004-04-06,26.84,,
2004-04-07,26.46,,
2004-04-08,26.32,,
2004-04-12,26.6,,
2004-04-13,26.1,,
2004-04-14,26.14,,
2004-04-15,26.28,,
2004-04-16,26.57,,
2004-04-19,26.5,,
2004-04-20,25.92,,
2004-04-21,25.72,,
2004-04-22,26.5,,
2004-04-23,26.35,,
2004-04-26,26.24,,
2004-04-27,26.23,,
2004-04-28,25.41,,
2004-04-29,25.03,,
2004-04-30,24.97,,
2004-05-03,25.01,,
2004-05-04,25.3,,
2004-05-05,25.18,,
2004-05-06,24.88,,
2004-05-07,24.01,,
2004-05-10,23.93,,
2004-05-11,24.25,,
2004-05-12,24.22,,
2004-05-13,24.38,,
2004-05-14,24.36,,
2004-05-17,23.89,,
2004-05-18,24.31,,
2004-05-19,24.33,,
2004-05-20,24.27,,
2004-05-21,24.56,,
2004-05-24,24.78,,
2004-05-25,25.28,,
2004-05-26,25.34,,
2004-05-27,25.34,,
2004-05-28,25.57,,
2004-06-01,25.54,,
2004-06-02,25.63,,
2004-06-03,25.11,,
2004-06-04,25.39,,
2004-06-07,25.87,,
2004-06-08,25.93,,
2004-06-09,25.61,,
2004-06-10,25.75,,
2004-06-14,25.37,,
2004-06-15,25.61,,
2004-06-16,25.66,,
2004-06-17,25.71,,
2004-06-18,25.96,,
2004-06-21,25.89,,
2004-06-22,25.97,,
2004-06-23,26.28,,
2004-06-24,26.23,,
2004-06-25,26.31,,
2004-06-28,26.24,,
2004-06-29,26.58,,
2004-06-30,26.77,,
2004-07-01,26.26,,
2004-07-02,26.13,,
2004-07-06,25.97,,
2004-07-07,26.27,,
2004-07-08,26.02,,
2004-07-09,26.14,,
2004-07-12,26.18,,
2004-07-13,26.2,,
2004-07-14,26.26,,
2004-07-15,26.32,,
2004-07-16,26.34,,
2004-07-19,26.21,,
2004-07-20,26.2,,
2004-07-21,25.7,,
2004-07-22,25.58,,
2004-07-23,25.43,,
2004-07-26,25.24,,
2004-07-27,25.64,,
2004-07-28,25.85,,
2004-07-29,26.21,,
2004-07-30,26.18,,
2004-08-02,26.3,,
2004-08-03,26.05,,
2004-08-04,26.11,,
2004-08-05,25.6,,
2004-08-06,25.11,,
2004-08-09,25.23,,
2004-08-10,25.66,,
2004-08-11,25.57,,
2004-08-12,25.21,,
2004-08-13,25.13,,
2004-08-16,25.82,,
2004-08-17,25.96,,
2004-08-18,26.2,,
2004-08-19,26.22,,
2004-08-20,26.47,,
2004-08-23,26.21,,
2004-08-24,26.3,,
2004-08-25,26.57,,
2004-08-26,26.7,,
2004-08-27,26.75,,
2004-08-30,26.54,,
2004-08-31,26.64,,
2004-09-01,26.71,,
2004-09-02,27.06,,
2004-09-03,27.02,,
2004-09-07,27.24,,
2004-09-08,26.95,,
2004-09-09,27.05,,
2004-09-10,26.81,,
2004-09-13,26.76,,
2004-09-14,26.71,,
2004-09-15,26.62,,
2004-09-16,26.73,,
2004-09-17,26.52,,
2004-09-20,26.54,,
2004-09-21,26.64,,
2004-09-22,26.43,,
2004-09-23,26.2,,
2004-09-24,26.43,,
2004-09-27,26.41,,
2004-09-28,27.02,,
2004-09-29,27.17,,
2004-09-30,27.54,,
2004-10-01,27.69,,
2004-10-04,27.74,,
2004-10-05,27.73,,
2004-10-06,28.16,,
2004-10-07,27.82,,
2004-10-08,27.67,,
2004-10-11,27.63,,
2004-10-12,27.36,,
2004-10-13,26.73,,
2004-10-14,26.68,,
2004-10-15,26.91,,
2004-10-18,26.88,,
2004-10-19,26.23,,
2004-10-20,26.4,,
2004-10-21,26.57,,
