date,nav,shares_outstanding,total_net_assets
2018-06-18,50.0,,0.0
2018-06-19,49.956098,500000,24978048.78
2018-06-20,50.57087,500000,25285434.79
2018-06-21,50.235736,500000,25117867.79
2018-06-22,50.455538,500000,25227768.77
2018-06-25,49.41754,500000,24708769.86
2018-06-26,49.558872,3000000,148676617.09
2018-06-27,49.034277,3000000,147102831.0
2018-06-28,49.595548,3250000,161185531.05
2018-06-29,49.401556,3250000,160555056.25
2018-07-02,49.834289,3500000,174420010.41
2018-07-03,49.19209,3700000,182010731.53
2018-07-05,49.968586,3750000,187382196.59
2018-07-06,50.786159,3900000,198066018.3
2018-07-09,51.084043,4050000,206890375.33
2018-07-10,50.988633,4150000,211602825.12
2018-07-11,50.932185,4950000,252114315.8
2018-07-12,51.739065,5150000,266456186.71
2018-07-13,51.690153,5250000,271373304.58
2018-07-16,51.545248,5350000,275767076.53
2018-07-17,51.536145,5400000,278295182.84
2018-07-18,51.403181,5400000,277577178.56
2018-07-19,51.041297,5500000,280727135.86
2018-07-20,50.865159,5600000,284844889.66
2018-07-23,51.06031,5600000,285937737.32
2018-07-24,51.452212,5650000,290704998.56
2018-07-25,51.790548,5750000,297795652.93
2018-07-26,49.844658,5900000,294083481.99
2018-07-27,48.90932,6450000,315465111.81
2018-07-30,48.158155,7400000,356370347.22
2018-07-31,48.443907,7450000,360907109.03
2018-08-01,48.278994,7450000,359678508.73
2018-08-02,48.586442,7450000,361968993.32
2018-08-03,48.916944,7450000,364431232.9
2018-08-06,49.382096,7450000,367896613.85
2018-08-07,49.437937,7450000,368312634.1
2018-08-08,49.422571,7650000,378082670.82
2018-08-09,49.673758,7650000,380004252.42
2018-08-10,49.264654,7800000,384264303.78
2018-08-13,49.187652,7800000,383663689.17
2018-08-14,49.557986,8250000,408853387.45
2018-08-15,48.871388,8400000,410519657.36
2018-08-16,48.833778,8650000,422412179.5
2018-08-17,48.63413,8650000,420685223.86
2018-08-20,48.676573,8800000,428353840.1
2018-08-21,48.965646,8900000,435794252.71
2018-08-22,48.931725,9050000,442832110.55
2018-08-23,48.725078,9350000,455579478.34
2018-08-24,49.420882,9350000,462085242.41
2018-08-27,49.927779,9600000,479306678.8
2018-08-28,49.703703,9750000,484611104.6
2018-08-29,49.969177,9850000,492196391.39
2018-08-30,49.655223,10050000,499034988.01
2018-08-31,49.181982,10150000,499197117.69
2018-09-04,48.577775,10150000,493064418.28
2018-09-05,47.917453,10150000,486362143.34
2018-09-06,47.584119,10600000,504391658.31
2018-09-07,47.6788,10600000,505395276.17
2018-09-10,47.748452,10750000,513295857.38
2018-09-11,48.272775,10850000,523759605.87
2018-09-12,48.112776,11400000,548485647.14
2018-09-13,48.449766,11850000,574129723.1
2018-09-14,48.388887,11850000,573408313.75
2018-09-17,47.908757,13550000,649163651.01
2018-09-18,48.21847,13950000,672647661.36
2018-09-19,48.367769,14300000,691659093.9
2018-09-20,48.876781,16200000,791803846.73
2018-09-21,48.410318,20000000,968206356.08
2018-09-24,48.556597,24150000,1172641809.43
2018-09-25,48.549441,31050000,1507460147.14
2018-09-26,48.767818,33650000,1641037080.39
2018-09-27,49.153762,38200000,1877673718.31
2018-09-28,48.977403,40550000,1986033706.64
2018-10-01,48.794116,41550000,2027395521.15
2018-10-02,48.828013,45300000,2211908967.69
2018-10-03,49.05345,48000000,2354565588.47
2018-10-04,48.275933,50200000,2423451848.37
2018-10-05,47.780233,52450000,2506073235.23
2018-10-08,47.647927,54350000,2589664834.86
2018-10-09,47.648826,58150000,2770779231.6
2018-10-10,45.727512,59950000,2741364374.01
2018-10-11,45.384276,60500000,2745748681.41
2018-10-12,46.332069,60700000,2812356570.08
2018-10-15,46.213362,61600000,2846743075.45
2018-10-16,47.410885,62350000,2956068698.06
2018-10-17,47.615871,62200000,2961707156.77
2018-10-18,46.701895,61500000,2872166540.19
2018-10-19,46.729592,63200000,2953310221.54
2018-10-22,46.682519,80500000,3757942769.22
2018-10-23,46.608985,81350000,3791640924.75
2018-10-24,44.408877,82050000,3643748387.23
2018-10-25,45.784854,82050000,3756647251.16
2018-10-26,44.653655,84050000,3753139738.9
2018-10-29,43.90701,83500000,3666235333.11
2018-10-30,45.150971,83500000,3770106062.09
2018-10-31,46.082927,80950000,3730412913.14
2018-11-01,46.301427,80450000,3724949794.93
2018-11-02,45.846243,79350000,3637899381.1
2018-11-05,45.690198,79850000,3648362278.51
