date,nav,shares_outstanding,total_net_assets
2003-12-01,24.69,,
2003-12-02,24.86,,
2003-12-03,24.76,,
2003-12-04,25.37,,
2003-12-05,25.5,,
2003-12-08,25.8,,
2003-12-09,25.87,,
2003-12-10,25.87,,
2003-12-11,25.96,,
2003-12-12,26.24,,
2003-12-15,25.94,,
2003-12-16,26.3,,
2003-12-17,26.53,,
2003-12-18,27.3,,
2003-12-19,27.11,,
2003-12-22,27.14,,
2003-12-23,26.96,,
2003-12-24,27.23,,
2003-12-26,27.31,,
2003-12-29,27.66,,
2003-12-30,27.71,,
2003-12-31,27.62,,
2004-01-02,27.51,,
2004-01-05,28.1,,
2004-01-06,28.01,,
2004-01-07,27.76,,
2004-01-08,27.89,,
2004-01-09,27.97,,
2004-01-12,28.02,,
2004-01-13,28.02,,
2004-01-14,27.98,,
2004-01-15,27.52,,
2004-01-16,27.82,,
2004-01-20,28.46,,
2004-01-21,28.68,,
2004-01-22,28.47,,
2004-01-23,28.74,,
2004-01-26,28.95,,
2004-01-27,28.81,,
2004-01-28,28.5,,
2004-01-29,28.49,,
2004-01-30,28.2,,
2004-02-02,28.29,,
2004-02-03,28.19,,
2004-02-04,27.99,,
2004-02-05,27.74,,
2004-02-06,27.92,,
2004-02-09,28.27,,
2004-02-10,28.66,,
2004-02-11,29.03,,
2004-02-12,29.14,,
2004-02-13,29.04,,
2004-02-17,29.3,,
2004-02-18,28.98,,
2004-02-19,28.99,,
2004-02-20,29.0,,
2004-02-23,29.18,,
2004-02-24,29.24,,
2004-02-25,29.37,,
2004-02-26,29.48,,
2004-02-27,29.6,,
2004-03-01,30.2,,
2004-03-02,29.95,,
2004-03-03,29.94,,
2004-03-04,29.81,,
2004-03-05,30.12,,
2004-03-08,30.18,,
2004-03-09,29.99,,
2004-03-10,29.46,,
2004-03-11,28.84,,
2004-03-12,29.31,,
2004-03-15,29.28,,
2004-03-16,29.27,,
2004-03-17,29.75,,
2004-03-18,29.99,,
2004-03-19,29.31,,
2004-03-22,29.0,,
2004-03-23,28.8,,
2004-03-24,28.19,,
2004-03-25,28.12,,
2004-03-26,28.4,,
2004-03-29,28.54,,
2004-03-30,29.1,,
2004-03-31,29.34,,
2004-04-01,28.97,,
2004-04-02,29.1,,
2004-04-05,29.28,,
2004-04-06,29.24,,
2004-04-07,29.26,,
2004-04-08,29.58,,
2004-04-12,30.12,,
2004-04-13,29.8,,
2004-04-14,29.91,,
2004-04-15,30.28,,
2004-04-16,30.51,,
2004-04-19,30.48,,
2004-04-20,29.8,,
2004-04-21,29.75,,
2004-04-22,30.28,,
2004-04-23,30.11,,
2004-04-26,30.28,,
2004-04-27,30.84,,
2004-04-28,30.42,,
2004-04-29,29.68,,
2004-04-30,29.8,,
2004-05-03,30.56,,
2004-05-04,30.51,,
2004-05-05,30.65,,
2004-05-06,30.44,,
2004-05-07,29.78,,
2004-05-10,28.89,,
2004-05-11,29.42,,
2004-05-12,29.6,,
2004-05-13,29.52,,
2004-05-14,29.9,,
2004-05-17,29.88,,
2004-05-18,29.43,,
2004-05-19,29.27,,
2004-05-20,29.22,,
2004-05-21,29.13,,
2004-05-24,29.73,,
2004-05-25,30.27,,
2004-05-26,29.98,,
2004-05-27,29.98,,
2004-05-28,29.72,,
2004-06-01,30.14,,
2004-06-02,30.08,,
2004-06-03,29.84,,
2004-06-04,29.7,,
2004-06-07,30.25,,
2004-06-08,30.1,,
2004-06-09,29.82,,
2004-06-10,30.25,,
2004-06-14,29.99,,
2004-06-15,30.45,,
2004-06-16,31.01,,
2004-06-17,31.26,,
2004-06-18,31.23,,
2004-06-21,31.13,,
2004-06-22,31.32,,
2004-06-23,31.91,,
2004-06-24,31.65,,
2004-06-25,31.43,,
2004-06-28,31.06,,
2004-06-29,31.22,,
2004-06-30,31.5,,
2004-07-01,31.54,,
2004-07-02,31.61,,
2004-07-06,31.75,,
2004-07-07,31.92,,
2004-07-08,31.75,,
2004-07-09,31.92,,
2004-07-12,31.78,,
2004-07-13,31.69,,
2004-07-14,32.08,,
2004-07-15,32.28,,
2004-07-16,32.62,,
2004-07-19,32.52,,
2004-07-20,32.45,,
2004-07-21,31.87,,
2004-07-22,31.98,,
2004-07-23,31.81,,
2004-07-26,31.53,,
2004-07-27,31.85,,
2004-07-28,32.09,,
2004-07-29,32.32,,
2004-07-30,32.5,,
2004-08-02,32.43,,
2004-08-03,32.79,,
2004-08-04,32.04,,
2004-08-05,31.59,,
2004-08-06,30.95,,
2004-08-09,31.43,,
2004-08-10,31.31,,
2004-08-11,31.15,,
2004-08-12,30.77,,
2004-08-13,31.1,,
2004-08-16,31.31,,
2004-08-17,30.64,,
2004-08-18,31.01,,
2004-08-19,31.13,,
2004-08-20,31.43,,
2004-08-23,31.07,,
2004-08-24,30.94,,
2004-08-25,31.14,,
2004-08-26,31.38,,
2004-08-27,31.59,,
2004-08-30,31.45,,
2004-08-31,32.0,,
2004-09-01,32.5,,
2004-09-02,32.75,,
2004-09-03,32.86,,
2004-09-07,32.82,,
2004-09-08,32.82,,
2004-09-09,33.29,,
2004-09-10,33.07,,
2004-09-13,33.37,,
2004-09-14,33.49,,
2004-09-15,33.41,,
2004-09-16,33.49,,
2004-09-17,33.9,,
2004-09-20,33.93,,
2004-09-21,34.79,,
2004-09-22,34.53,,
2004-09-23,34.2,,
2004-09-24,34.59,,
2004-09-27,34.62,,
2004-09-28,35.18,,
2004-09-29,34.77,,
2004-09-30,35.0,,
2004-10-01,35.43,,
2004-10-04,35.36,,
2004-10-05,35.75,,
2004-10-06,36.4,,
2004-10-07,36.14,,
2004-10-08,36.2,,
2004-10-11,35.85,,
2004-10-12,35.47,,
2004-10-13,34.7,,
2004-10-14,35.03,,
2004-10-15,35.14,,
2004-10-18,34.71,,
2004-10-19,34.6,,
2004-10-20,35.36,,
2004-10-21,35.54,,
2004-10-22,35.51,,
2004-10-25,35.51,,
2004-10-26,35.95,,
2004-10-27,35.26,,
2004-10-28,34.64,,
2004-10-29,35.14,,
2004-11-01,34.9,,
2004-11-02,34.39,,
2004-11-03,35.12,,
2004-11-04,35.56,,
2004-11-05,35.76,,
2004-11-08,35.11,,
2004-11-09,34.83,,
2004-11-10,35.21,,
2004-11-11,35.17,,
2004-11-12,35.92,,
2004-11-15,35.15,,
2004-11-16,35.15,,
2004-11-17,35.63,,
2004-11-18,35.96,,
2004-11-19,36.43,,
2004-11-22,36.94,,
2004-11-23,37.14,,
2004-11-24,37.46,,
2004-11-26,37.67,,
2004-11-29,37.44,,
2004-11-30,37.48,,
2004-12-01,36.64,,
2004-12-02,35.67,,
2004-12-03,35.98,,
2004-12-06,35.98,,
2004-12-07,35.29,,
2004-12-08,35.49,,
2004-12-09,35.78,,
2004-12-10,35.55,,
2004-12-13,36.14,,
2004-12-14,36.25,,
2004-12-15,36.55,,
