date,nav,shares_outstanding,total_net_assets
2003-12-01,27.38,,
2003-12-02,27.31,,
2003-12-03,27.27,,
2003-12-04,27.32,,
2003-12-05,27.1,,
2003-12-08,27.38,,
2003-12-09,27.12,,
2003-12-10,27.02,,
2003-12-11,27.27,,
2003-12-12,27.38,,
2003-12-15,27.24,,
2003-12-16,27.5,,
2003-12-17,27.44,,
2003-12-18,27.68,,
2003-12-19,27.6,,
2003-12-22,27.73,,
2003-12-23,27.79,,
2003-12-24,27.74,,
2003-12-26,27.77,,
2003-12-29,28.13,,
2003-12-30,28.18,,
2003-12-31,28.22,,
2004-01-02,28.08,,
2004-01-05,28.31,,
2004-01-06,28.33,,
2004-01-07,28.38,,
2004-01-08,28.45,,
2004-01-09,28.34,,
2004-01-12,28.45,,
2004-01-13,28.29,,
2004-01-14,28.56,,
2004-01-15,28.79,,
2004-01-16,28.89,,
2004-01-20,28.87,,
2004-01-21,29.28,,
2004-01-22,29.29,,
2004-01-23,29.16,,
2004-01-26,29.53,,
2004-01-27,29.27,,
2004-01-28,28.82,,
2004-01-29,29.01,,
2004-01-30,29.11,,
2004-02-02,29.25,,
2004-02-03,29.25,,
2004-02-04,29.03,,
2004-02-05,29.02,,
2004-02-06,29.46,,
2004-02-09,29.38,,
2004-02-10,29.46,,
2004-02-11,29.93,,
2004-02-12,29.84,,
2004-02-13,29.8,,
2004-02-17,30.04,,
2004-02-18,29.9,,
2004-02-19,29.83,,
2004-02-20,29.74,,
2004-02-23,29.74,,
2004-02-24,29.59,,
2004-02-25,29.75,,
2004-02-26,29.78,,
2004-02-27,29.87,,
2004-03-01,30.08,,
2004-03-02,29.96,,
2004-03-03,30.15,,
2004-03-04,30.23,,
2004-03-05,30.42,,
2004-03-08,30.28,,
2004-03-09,30.07,,
2004-03-10,29.63,,
2004-03-11,29.19,,
2004-03-12,29.55,,
2004-03-15,29.13,,
2004-03-16,29.4,,
2004-03-17,29.76,,
2004-03-18,29.79,,
2004-03-19,29.3,,
2004-03-22,28.94,,
2004-03-23,28.91,,
2004-03-24,28.68,,
2004-03-25,29.03,,
2004-03-26,28.99,,
2004-03-29,29.38,,
2004-03-30,29.5,,
2004-03-31,29.44,,
2004-04-01,29.73,,
2004-04-02,29.59,,
2004-04-05,29.74,,
2004-04-06,29.72,,
2004-04-07,29.6,,
2004-04-08,29.56,,
2004-04-12,29.69,,
2004-04-13,29.08,,
2004-04-14,28.74,,
2004-04-15,28.58,,
2004-04-16,28.91,,
2004-04-19,28.81,,
2004-04-20,28.33,,
2004-04-21,28.32,,
2004-04-22,28.75,,
2004-04-23,28.62,,
2004-04-26,28.55,,
2004-04-27,28.62,,
2004-04-28,28.18,,
2004-04-29,28.16,,
2004-04-30,28.08,,
2004-05-03,28.29,,
2004-05-04,28.39,,
2004-05-05,28.41,,
2004-05-06,28.11,,
2004-05-07,27.51,,
2004-05-10,27.21,,
2004-05-11,27.39,,
2004-05-12,27.68,,
2004-05-13,27.71,,
2004-05-14,27.73,,
2004-05-17,27.38,,
2004-05-18,27.63,,
2004-05-19,27.6,,
2004-05-20,27.73,,
2004-05-21,27.87,,
2004-05-24,27.92,,
2004-05-25,28.35,,
2004-05-26,28.51,,
2004-05-27,28.51,,
2004-05-28,28.59,,
2004-06-01,28.5,,
2004-06-02,28.64,,
2004-06-03,28.43,,
2004-06-04,28.63,,
2004-06-07,29.08,,
2004-06-08,29.03,,
2004-06-09,28.75,,
2004-06-10,28.86,,
2004-06-14,28.48,,
2004-06-15,28.57,,
2004-06-16,28.6,,
2004-06-17,28.61,,
2004-06-18,28.55,,
2004-06-21,28.43,,
2004-06-22,28.54,,
2004-06-23,28.66,,
2004-06-24,28.65,,
2004-06-25,28.55,,
2004-06-28,28.56,,
2004-06-29,28.47,,
2004-06-30,28.58,,
2004-07-01,28.38,,
2004-07-02,28.45,,
2004-07-06,28.25,,
2004-07-07,28.22,,
2004-07-08,28.01,,
2004-07-09,27.97,,
2004-07-12,28.14,,
2004-07-13,28.14,,
2004-07-14,28.02,,
2004-07-15,27.79,,
2004-07-16,27.73,,
2004-07-19,27.84,,
2004-07-20,27.97,,
2004-07-21,27.69,,
2004-07-22,27.7,,
2004-07-23,27.56,,
2004-07-26,27.58,,
2004-07-27,27.82,,
2004-07-28,27.86,,
2004-07-29,28.01,,
2004-07-30,27.99,,
2004-08-02,28.11,,
2004-08-03,27.99,,
2004-08-04,28.04,,
2004-08-05,27.57,,
2004-08-06,27.32,,
2004-08-09,27.34,,
2004-08-10,27.7,,
2004-08-11,27.76,,
2004-08-12,27.51,,
2004-08-13,27.49,,
2004-08-16,27.93,,
2004-08-17,28.1,,
2004-08-18,28.44,,
2004-08-19,28.34,,
2004-08-20,28.58,,
2004-08-23,28.48,,
2004-08-24,28.57,,
2004-08-25,28.8,,
2004-08-26,28.85,,
2004-08-27,28.88,,
2004-08-30,28.74,,
2004-08-31,28.92,,
2004-09-01,28.76,,
2004-09-02,29.09,,
2004-09-03,29.08,,
2004-09-07,29.42,,
2004-09-08,29.2,,
2004-09-09,29.16,,
2004-09-10,29.29,,
2004-09-13,29.24,,
2004-09-14,29.28,,
2004-09-15,29.14,,
2004-09-16,29.33,,
2004-09-17,29.2,,
2004-09-20,28.92,,
2004-09-21,29.15,,
2004-09-22,28.62,,
2004-09-23,28.35,,
2004-09-24,28.49,,
2004-09-27,28.3,,
2004-09-28,28.46,,
2004-09-29,28.55,,
2004-09-30,28.51,,
2004-10-01,28.93,,
2004-10-04,28.97,,
2004-10-05,28.83,,
2004-10-06,29.03,,
2004-10-07,28.94,,
2004-10-08,28.84,,
2004-10-11,28.92,,
2004-10-12,28.93,,
2004-10-13,28.72,,
2004-10-14,28.0,,
2004-10-15,28.09,,
2004-10-18,28.22,,
2004-10-19,27.73,,
2004-10-20,27.56,,
2004-10-21,27.58,,
2004-10-22,27.4,,
2004-10-25,27.4,,
2004-10-26,28.06,,
2004-10-27,28.4,,
2004-10-28,28.6,,
2004-10-29,28.65,,
2004-11-01,28.71,,
2004-11-02,28.85,,
2004-11-03,29.02,,
2004-11-04,29.5,,
2004-11-05,29.45,,
2004-11-08,29.4,,
2004-11-09,29.36,,
2004-11-10,29.42,,
2004-11-11,29.69,,
2004-11-12,29.87,,
2004-11-15,29.94,,
2004-11-16,29.67,,
2004-11-17,29.75,,
2004-11-18,29.67,,
2004-11-19,29.27,,
2004-11-22,29.49,,
2004-11-23,29.56,,
2004-11-24,29.66,,
2004-11-26,29.65,,
2004-11-29,29.54,,
2004-11-30,29.49,,
2004-12-01,30.08,,
2004-12-02,30.04,,
2004-12-03,30.01,,
2004-12-06,30.03,,
2004-12-07,29.74,,
2004-12-08,29.84,,
2004-12-09,29.98,,
2004-12-10,30.01,,
2004-12-13,30.26,,
2004-12-14,30.33,,
2004-12-15,30.48,,
2004-12-16,30.31,,
2004-12-17,29.97,,
2004-12-20,29.98,,
