date,nav,shares_outstanding,total_net_assets
2003-12-01,25.56,,
2003-12-02,25.51,,
2003-12-03,25.58,,
2003-12-04,25.62,,
2003-12-05,25.45,,
2003-12-08,25.66,,
2003-12-09,25.66,,
2003-12-10,25.61,,
2003-12-11,26.02,,
2003-12-12,26.06,,
2003-12-15,26.04,,
2003-12-16,26.24,,
2003-12-17,26.3,,
2003-12-18,26.56,,
2003-12-19,26.47,,
2003-12-22,26.66,,
2003-12-23,26.69,,
2003-12-24,26.58,,
2003-12-26,26.58,,
2003-12-29,26.85,,
2003-12-30,26.76,,
2003-12-31,26.84,,
2004-01-02,26.74,,
2004-01-05,27.05,,
2004-01-06,26.97,,
2004-01-07,27.02,,
2004-01-08,27.17,,
2004-01-09,26.89,,
2004-01-12,27.01,,
2004-01-13,26.92,,
2004-01-14,27.25,,
2004-01-15,27.32,,
2004-01-16,27.77,,
2004-01-20,27.39,,
2004-01-21,27.68,,
2004-01-22,27.54,,
2004-01-23,27.38,,
2004-01-26,27.75,,
2004-01-27,27.54,,
2004-01-28,27.11,,
2004-01-29,27.05,,
2004-01-30,26.95,,
2004-02-02,26.96,,
2004-02-03,26.88,,
2004-02-04,26.76,,
2004-02-05,26.99,,
2004-02-06,27.15,,
2004-02-09,27.02,,
2004-02-10,27.05,,
2004-02-11,27.39,,
2004-02-12,27.31,,
2004-02-13,27.13,,
2004-02-17,27.36,,
2004-02-18,27.21,,
2004-02-19,27.08,,
2004-02-20,27.01,,
2004-02-23,26.93,,
2004-02-24,26.79,,
2004-02-25,26.82,,
2004-02-26,26.8,,
2004-02-27,26.79,,
2004-03-01,27.0,,
2004-03-02,26.83,,
2004-03-03,26.9,,
2004-03-04,26.96,,
2004-03-05,26.97,,
2004-03-08,26.61,,
2004-03-09,26.41,,
2004-03-10,25.94,,
2004-03-11,25.58,,
2004-03-12,26.0,,
2004-03-15,25.7,,
2004-03-16,25.88,,
2004-03-17,26.28,,
2004-03-18,26.26,,
2004-03-19,25.87,,
2004-03-22,25.47,,
2004-03-23,25.45,,
2004-03-24,25.43,,
2004-03-25,25.9,,
2004-03-26,25.94,,
2004-03-29,26.27,,
2004-03-30,26.44,,
2004-03-31,26.48,,
2004-04-01,26.54,,
2004-04-02,26.91,,
2004-04-05,27.16,,
2004-04-06,27.21,,
2004-04-07,27.04,,
2004-04-08,26.99,,
2004-04-12,27.17,,
2004-04-13,26.8,,
2004-04-14,26.76,,
2004-04-15,26.83,,
2004-04-16,27.07,,
2004-04-19,26.98,,
2004-04-20,26.62,,
2004-04-21,26.83,,
2004-04-22,27.38,,
2004-04-23,27.27,,
2004-04-26,27.16,,
2004-04-27,27.22,,
2004-04-28,26.83,,
2004-04-29,26.6,,
2004-04-30,26.45,,
2004-05-03,26.7,,
2004-05-04,26.76,,
2004-05-05,26.77,,
2004-05-06,26.64,,
2004-05-07,26.26,,
2004-05-10,25.85,,
2004-05-11,26.04,,
2004-05-12,26.21,,
2004-05-13,26.18,,
2004-05-14,26.2,,
2004-05-17,25.89,,
2004-05-18,26.12,,
2004-05-19,26.09,,
2004-05-20,25.99,,
2004-05-21,26.23,,
2004-05-24,26.4,,
2004-05-25,26.8,,
2004-05-26,26.84,,
2004-05-27,26.84,,
2004-05-28,27.04,,
2004-06-01,27.03,,
2004-06-02,27.27,,
2004-06-03,27.07,,
2004-06-04,27.24,,
2004-06-07,27.72,,
2004-06-08,27.79,,
2004-06-09,27.55,,
2004-06-10,27.71,,
2004-06-14,27.57,,
2004-06-15,27.79,,
2004-06-16,27.87,,
2004-06-17,27.88,,
2004-06-18,28.0,,
2004-06-21,27.94,,
2004-06-22,28.16,,
2004-06-23,28.55,,
2004-06-24,28.47,,
2004-06-25,28.34,,
2004-06-28,28.29,,
2004-06-29,28.5,,
2004-06-30,28.64,,
2004-07-01,28.27,,
2004-07-02,27.99,,
2004-07-06,27.89,,
2004-07-07,28.01,,
2004-07-08,27.76,,
2004-07-09,28.03,,
2004-07-12,28.13,,
2004-07-13,28.18,,
2004-07-14,28.12,,
2004-07-15,28.24,,
2004-07-16,28.13,,
2004-07-19,27.99,,
2004-07-20,28.16,,
2004-07-21,27.8,,
2004-07-22,27.67,,
2004-07-23,27.46,,
2004-07-26,27.39,,
2004-07-27,27.7,,
2004-07-28,27.82,,
2004-07-29,27.92,,
2004-07-30,27.88,,
2004-08-02,27.98,,
2004-08-03,27.81,,
2004-08-04,27.82,,
2004-08-05,27.3,,
2004-08-06,26.73,,
2004-08-09,26.8,,
2004-08-10,27.21,,
2004-08-11,27.17,,
2004-08-12,26.76,,
2004-08-13,26.79,,
2004-08-16,27.28,,
2004-08-17,27.23,,
2004-08-18,27.55,,
2004-08-19,27.37,,
2004-08-20,27.57,,
2004-08-23,27.52,,
2004-08-24,27.65,,
2004-08-25,27.87,,
2004-08-26,27.89,,
2004-08-27,27.88,,
2004-08-30,27.71,,
2004-08-31,27.84,,
2004-09-01,27.92,,
2004-09-02,28.26,,
2004-09-03,28.14,,
2004-09-07,28.38,,
2004-09-08,28.34,,
2004-09-09,28.27,,
2004-09-10,28.38,,
2004-09-13,28.43,,
2004-09-14,28.44,,
2004-09-15,28.21,,
2004-09-16,28.38,,
2004-09-17,28.6,,
2004-09-20,28.47,,
2004-09-21,28.58,,
2004-09-22,28.15,,
2004-09-23,27.9,,
2004-09-24,28.01,,
2004-09-27,27.79,,
2004-09-28,28.02,,
2004-09-29,28.18,,
2004-09-30,28.36,,
2004-10-01,28.77,,
2004-10-04,28.82,,
2004-10-05,28.68,,
2004-10-06,28.94,,
2004-10-07,28.57,,
2004-10-08,28.35,,
2004-10-11,28.42,,
2004-10-12,28.38,,
2004-10-13,28.1,,
2004-10-14,27.97,,
2004-10-15,28.18,,
2004-10-18,28.18,,
2004-10-19,27.99,,
2004-10-20,27.93,,
2004-10-21,28.06,,
2004-10-22,27.77,,
2004-10-25,27.81,,
2004-10-26,28.24,,
2004-10-27,28.57,,
2004-10-28,28.58,,
2004-10-29,28.67,,
2004-11-01,28.78,,
2004-11-02,28.77,,
2004-11-03,29.09,,
2004-11-04,29.66,,
2004-11-05,29.86,,
2004-11-08,29.92,,
2004-11-09,30.03,,
2004-11-10,30.05,,
2004-11-11,30.42,,
2004-11-12,30.64,,
2004-11-15,30.51,,
2004-11-16,30.36,,
2004-11-17,30.56,,
2004-11-18,30.74,,
2004-11-19,30.36,,
2004-11-22,30.46,,
2004-11-23,30.43,,
2004-11-24,30.52,,
2004-11-26,30.48,,
2004-11-29,30.4,,
2004-11-30,30.44,,
2004-12-01,30.95,,
2004-12-02,30.89,,
2004-12-03,30.89,,
2004-12-06,30.78,,
2004-12-07,30.43,,
2004-12-08,30.58,,
2004-12-09,30.73,,
2004-12-10,30.84,,
2004-12-13,31.19,,
2004-12-14,31.24,,
2004-12-15,31.23,,
2004-12-16,31.07,,
2004-12-17,30.87,,
2004-12-20,30.92,,
2004-12-21,31.11,,
2004-12-22,31.22,,
2004-12-23,31.23,,
2004-12-27,31.02,,
2004-12-28,31.26,,
2004-12-29,31.16,,
2004-12-30,31.15,,
2004-12-31,31.08,,
2005-01-03,30.82,,
2005-01-04,30.38,,
