date,nav,shares_outstanding,total_net_assets
2003-12-01,20.14,,
2003-12-02,20.03,,
2003-12-03,19.91,,
2003-12-04,20.14,,
2003-12-05,19.84,,
2003-12-08,19.92,,
2003-12-09,19.45,,
2003-12-10,19.59,,
2003-12-11,19.91,,
2003-12-12,19.92,,
2003-12-15,19.7,,
2003-12-16,19.8,,
2003-12-17,19.75,,
2003-12-18,20.13,,
2003-12-19,19.88,,
2003-12-22,19.95,,
2003-12-23,20.12,,
2003-12-24,20.06,,
2003-12-26,20.1,,
2003-12-29,20.45,,
2003-12-30,20.46,,
2003-12-31,20.47,,
2004-01-02,20.48,,
2004-01-05,21.03,,
2004-01-06,21.16,,
2004-01-07,21.31,,
2004-01-08,21.71,,
2004-01-09,21.4,,
2004-01-12,21.69,,
2004-01-13,21.46,,
2004-01-14,21.68,,
2004-01-15,21.73,,
2004-01-16,22.06,,
2004-01-20,22.1,,
2004-01-21,21.98,,
2004-01-22,21.7,,
2004-01-23,21.7,,
2004-01-26,22.1,,
2004-01-27,21.68,,
2004-01-28,21.35,,
2004-01-29,21.28,,
2004-01-30,21.24,,
2004-02-02,21.26,,
2004-02-03,21.31,,
2004-02-04,20.74,,
2004-02-05,20.76,,
2004-02-06,21.2,,
2004-02-09,21.1,,
2004-02-10,21.23,,
2004-02-11,21.44,,
2004-02-12,21.25,,
2004-02-13,21.08,,
2004-02-17,21.39,,
2004-02-18,21.3,,
2004-02-19,21.0,,
2004-02-20,20.87,,
2004-02-23,20.6,,
2004-02-24,20.62,,
2004-02-25,20.75,,
2004-02-26,20.82,,
2004-02-27,20.74,,
2004-03-01,20.99,,
2004-03-02,20.9,,
2004-03-03,20.79,,
2004-03-04,20.97,,
2004-03-05,20.82,,
2004-03-08,20.39,,
2004-03-09,20.3,,
2004-03-10,20.0,,
2004-03-11,19.77,,
2004-03-12,20.17,,
2004-03-15,19.77,,
2004-03-16,19.86,,
2004-03-17,20.14,,
2004-03-18,19.99,,
2004-03-19,19.7,,
2004-03-22,19.45,,
2004-03-23,19.38,,
2004-03-24,19.52,,
2004-03-25,20.11,,
2004-03-26,19.99,,
2004-03-29,20.3,,
2004-03-30,20.31,,
2004-03-31,20.22,,
2004-04-01,20.4,,
2004-04-02,20.88,,
2004-04-05,21.09,,
2004-04-06,20.88,,
2004-04-07,20.69,,
2004-04-08,20.74,,
2004-04-12,20.81,,
2004-04-13,20.56,,
2004-04-14,20.52,,
2004-04-15,20.26,,
2004-04-16,20.1,,
2004-04-19,20.31,,
2004-04-20,19.9,,
2004-04-21,20.15,,
2004-04-22,20.47,,
2004-04-23,20.77,,
2004-04-26,20.55,,
2004-04-27,20.43,,
2004-04-28,20.09,,
2004-04-29,19.78,,
2004-04-30,19.41,,
2004-05-03,19.54,,
2004-05-04,19.69,,
2004-05-05,19.76,,
2004-05-06,19.66,,
2004-05-07,19.61,,
2004-05-10,19.52,,
2004-05-11,19.81,,
2004-05-12,19.71,,
2004-05-13,19.75,,
2004-05-14,19.49,,
2004-05-17,19.23,,
2004-05-18,19.42,,
2004-05-19,19.48,,
2004-05-20,19.49,,
2004-05-21,19.57,,
2004-05-24,19.59,,
2004-05-25,19.93,,
2004-05-26,19.95,,
