date,nav,shares_outstanding,total_net_assets
2003-12-01,21.45,,
2003-12-02,21.28,,
2003-12-03,21.27,,
2003-12-04,21.34,,
2003-12-05,21.33,,
2003-12-08,21.4,,
2003-12-09,21.26,,
2003-12-10,21.28,,
2003-12-11,21.32,,
2003-12-12,21.39,,
2003-12-15,21.29,,
2003-12-16,21.47,,
2003-12-17,21.48,,
2003-12-18,21.57,,
2003-12-19,21.39,,
2003-12-22,21.49,,
2003-12-23,21.52,,
2003-12-24,21.44,,
2003-12-26,21.47,,
2003-12-29,21.65,,
2003-12-30,21.68,,
2003-12-31,21.76,,
2004-01-02,21.56,,
2004-01-05,21.62,,
2004-01-06,21.69,,
2004-01-07,21.6,,
2004-01-08,21.58,,
2004-01-09,21.41,,
2004-01-12,21.49,,
2004-01-13,21.46,,
2004-01-14,21.57,,
2004-01-15,21.56,,
2004-01-16,21.57,,
2004-01-20,21.49,,
2004-01-21,21.63,,
2004-01-22,21.56,,
2004-01-23,21.7,,
2004-01-26,21.9,,
2004-01-27,21.83,,
2004-01-28,21.62,,
2004-01-29,21.91,,
2004-01-30,21.76,,
2004-02-02,21.88,,
2004-02-03,21.96,,
2004-02-04,22.08,,
2004-02-05,22.25,,
2004-02-06,22.43,,
2004-02-09,22.44,,
2004-02-10,22.53,,
2004-02-11,22.56,,
2004-02-12,22.51,,
2004-02-13,22.38,,
2004-02-17,22.6,,
2004-02-18,22.56,,
2004-02-19,22.71,,
2004-02-20,22.86,,
2004-02-23,22.98,,
2004-02-24,22.85,,
2004-02-25,22.92,,
2004-02-26,22.93,,
2004-02-27,22.99,,
2004-03-01,23.25,,
2004-03-02,23.03,,
2004-03-03,23.13,,
2004-03-04,23.1,,
2004-03-05,23.13,,
2004-03-08,23.09,,
2004-03-09,23.09,,
2004-03-10,23.03,,
2004-03-11,22.61,,
2004-03-12,22.66,,
2004-03-15,22.38,,
2004-03-16,22.41,,
2004-03-17,22.67,,
2004-03-18,22.72,,
2004-03-19,22.52,,
2004-03-22,22.29,,
2004-03-23,22.24,,
2004-03-24,22.25,,
2004-03-25,22.6,,
2004-03-26,22.49,,
2004-03-29,22.76,,
2004-03-30,22.86,,
2004-03-31,22.85,,
2004-04-01,22.82,,
2004-04-02,22.85,,
2004-04-05,22.92,,
2004-04-06,23.05,,
2004-04-07,22.92,,
2004-04-08,22.8,,
2004-04-12,22.89,,
2004-04-13,22.69,,
2004-04-14,22.82,,
2004-04-15,22.91,,
2004-04-16,23.08,,
2004-04-19,23.14,,
2004-04-20,22.97,,
2004-04-21,23.03,,
2004-04-22,23.23,,
2004-04-23,23.27,,
2004-04-26,23.18,,
2004-04-27,23.27,,
2004-04-28,23.03,,
2004-04-29,23.16,,
2004-04-30,23.18,,
2004-05-03,23.3,,
2004-05-04,23.19,,
2004-05-05,23.22,,
2004-05-06,23.12,,
2004-05-07,22.91,,
2004-05-10,22.85,,
2004-05-11,22.77,,
2004-05-12,22.71,,
2004-05-13,22.61,,
2004-05-14,22.71,,
2004-05-17,22.59,,
2004-05-18,22.69,,
2004-05-19,22.54,,
2004-05-20,22.65,,
2004-05-21,22.66,,
2004-05-24,22.55,,
2004-05-25,22.84,,
2004-05-26,22.85,,
2004-05-27,22.85,,
2004-05-28,23.04,,
2004-06-01,23.04,,
2004-06-02,23.23,,
2004-06-03,23.18,,
2004-06-04,23.21,,
2004-06-07,23.45,,
2004-06-08,23.55,,
2004-06-09,23.44,,
2004-06-10,23.44,,
2004-06-14,23.32,,
2004-06-15,23.41,,
2004-06-16,23.4,,
2004-06-17,23.3,,
2004-06-18,23.21,,
2004-06-21,23.18,,
2004-06-22,23.23,,
2004-06-23,23.25,,
2004-06-24,23.11,,
2004-06-25,22.87,,
2004-06-28,22.95,,
2004-06-29,22.97,,
2004-06-30,23.06,,
2004-07-01,22.88,,
2004-07-02,22.85,,
2004-07-06,22.87,,
2004-07-07,22.86,,
2004-07-08,22.86,,
2004-07-09,22.89,,
2004-07-12,22.94,,
2004-07-13,23.0,,
2004-07-14,22.95,,
2004-07-15,22.83,,
2004-07-16,22.83,,
2004-07-19,22.8,,
2004-07-20,22.84,,
2004-07-21,22.54,,
2004-07-22,22.43,,
2004-07-23,22.13,,
2004-07-26,22.06,,
2004-07-27,22.26,,
2004-07-28,22.22,,
2004-07-29,21.96,,
2004-07-30,21.95,,
2004-08-02,22.16,,
2004-08-03,22.08,,
2004-08-04,22.15,,
2004-08-05,21.85,,
2004-08-06,21.62,,
2004-08-09,21.65,,
2004-08-10,21.89,,
2004-08-11,22.01,,
2004-08-12,21.98,,
2004-08-13,22.05,,
2004-08-16,22.21,,
2004-08-17,22.27,,
2004-08-18,22.36,,
2004-08-19,22.29,,
2004-08-20,22.36,,
2004-08-23,22.28,,
2004-08-24,22.29,,
2004-08-25,22.41,,
2004-08-26,22.43,,
2004-08-27,22.44,,
2004-08-30,22.31,,
2004-08-31,22.36,,
2004-09-01,22.37,,
2004-09-02,22.58,,
2004-09-03,22.67,,
2004-09-07,22.72,,
2004-09-08,22.45,,
2004-09-09,22.37,,
2004-09-10,22.42,,
2004-09-13,22.4,,
2004-09-14,22.41,,
2004-09-15,22.21,,
2004-09-16,22.09,,
2004-09-17,22.07,,
2004-09-20,21.71,,
2004-09-21,21.66,,
2004-09-22,21.45,,
2004-09-23,21.53,,
2004-09-24,21.52,,
2004-09-27,21.41,,
2004-09-28,21.53,,
2004-09-29,21.63,,
2004-09-30,21.66,,
2004-10-01,21.86,,
2004-10-04,21.87,,
2004-10-05,21.82,,
2004-10-06,21.92,,
2004-10-07,21.74,,
2004-10-08,21.6,,
2004-10-11,21.61,,
2004-10-12,21.54,,
2004-10-13,21.45,,
2004-10-14,21.37,,
2004-10-15,21.51,,
2004-10-18,21.59,,
2004-10-19,21.48,,
2004-10-20,21.52,,
2004-10-21,21.54,,
2004-10-22,21.39,,
2004-10-25,21.27,,
2004-10-26,21.54,,
2004-10-27,21.7,,
2004-10-28,21.84,,
2004-10-29,21.8,,
2004-11-01,21.78,,
2004-11-02,21.88,,
2004-11-03,22.11,,
2004-11-04,22.65,,
2004-11-05,22.74,,
2004-11-08,22.69,,
2004-11-09,22.67,,
2004-11-10,22.71,,
2004-11-11,22.88,,
2004-11-12,22.99,,
2004-11-15,23.03,,
2004-11-16,22.88,,
2004-11-17,22.93,,
2004-11-18,22.91,,
2004-11-19,22.64,,
2004-11-22,22.78,,
2004-11-23,22.73,,
2004-11-24,22.74,,
2004-11-26,22.73,,
2004-11-29,22.54,,
2004-11-30,22.34,,
2004-12-01,22.67,,
2004-12-02,22.85,,
2004-12-03,22.82,,
2004-12-06,22.64,,
2004-12-07,22.55,,
2004-12-08,22.64,,
2004-12-09,22.9,,
2004-12-10,22.9,,
2004-12-13,22.99,,
2004-12-14,23.17,,
2004-12-15,23.15,,
2004-12-16,23.11,,
2004-12-17,22.8,,
2004-12-20,22.82,,
2004-12-21,22.98,,
2004-12-22,23.07,,
2004-12-23,23.01,,
2004-12-27,23.0,,
2004-12-28,23.16,,
2004-12-29,23.12,,
2004-12-30,23.14,,
2004-12-31,23.09,,
2005-01-03,23.05,,
2005-01-04,22.9,,
2005-01-05,22.87,,
2005-01-06,23.01,,
2005-01-07,23.11,,
2005-01-10,23.24,,
2005-01-11,23.14,,
2005-01-12,23.22,,
2005-01-13,23.05,,
2005-01-14,23.18,,
2005-01-18,23.44,,
2005-01-19,23.4,,
2005-01-20,23.34,,
2005-01-21,23.14,,
2005-01-24,23.11,,
2005-01-25,23.16,,
2005-01-26,23.13,,
2005-01-27,23.27,,
2005-01-28,23.32,,
2005-01-31,23.32,,
2005-02-01,23.34,,
2005-02-02,23.53,,
2005-02-03,23.53,,
2005-02-04,23.67,,
2005-02-07,23.61,,
2005-02-08,23.57,,
2005-02-09,23.39,,
2005-02-10,23.42,,
2005-02-11,23.5,,
2005-02-14,23.53,,
2005-02-15,23.6,,
2005-02-16,23.63,,
2005-02-17,23.49,,
2005-02-18,23.46,,
2005-02-22,23.08,,
2005-02-23,23.16,,
2005-02-24,23.3,,
2005-02-25,23.39,,
2005-02-28,23.32,,
2005-03-01,23.52,,
2005-03-02,23.48,,
2005-03-03,23.6,,
2005-03-04,23.72,,
2005-03-07,23.65,,
2005-03-08,23.53,,
2005-03-09,23.37,,
2005-03-10,23.41,,
2005-03-11,23.23,,
2005-03-14,23.32,,
2005-03-15,23.18,,
2005-03-16,23.08,,
2005-03-17,23.19,,
2005-03-18,23.04,,
2005-03-21,22.91,,
2005-03-22,22.78,,
2005-03-23,22.92,,
2005-03-24,22.88,,
2005-03-28,22.95,,
2005-03-29,22.87,,
2005-03-30,23.15,,
2005-03-31,23.04,,
2005-04-01,22.81,,
2005-04-04,22.94,,
2005-04-05,23.1,,
2005-04-06,23.04,,
2005-04-07,23.19,,
2005-04-08,23.08,,
2005-04-11,23.11,,
2005-04-12,23.2,,
2005-04-13,23.13,,
2005-04-14,23.06,,
2005-04-15,22.84,,
2005-04-18,22.73,,
2005-04-19,22.78,,
2005-04-20,22.48,,
2005-04-21,22.86,,
2005-04-22,22.64,,
2005-04-25,22.82,,
2005-04-26,22.66,,
2005-04-27,22.77,,
2005-04-28,22.66,,
2005-04-29,22.77,,
2005-05-02,22.95,,
2005-05-03,23.06,,
2005-05-04,23.21,,
2005-05-05,23.16,,
2005-05-06,23.12,,
2005-05-09,23.22,,
2005-05-10,23.07,,
2005-05-11,23.14,,
2005-05-12,23.03,,
2005-05-13,22.84,,
2005-05-16,23.09,,
2005-05-17,23.2,,
2005-05-18,23.44,,
2005-05-19,23.53,,
2005-05-20,23.52,,
2005-05-23,23.56,,
2005-05-24,23.5,,
2005-05-25,23.43,,
2005-05-26,23.45,,
2005-05-27,23.41,,
2005-05-31,23.26,,
2005-06-01,23.46,,
2005-06-02,23.53,,
2005-06-03,23.32,,
2005-06-06,23.35,,
2005-06-07,23.43,,
2005-06-08,23.39,,
2005-06-09,23.4,,
2005-06-10,23.37,,
2005-06-13,23.35,,
2005-06-14,23.43,,
2005-06-15,23.43,,
2005-06-16,23.39,,
2005-06-17,23.31,,
2005-06-20,23.28,,
2005-06-21,23.26,,
2005-06-22,23.25,,
2005-06-23,22.97,,
2005-06-24,22.71,,
2005-06-27,22.73,,
2005-06-28,23.01,,
2005-06-29,22.94,,
2005-06-30,22.75,,
2005-07-01,22.81,,
2005-07-05,22.95,,
2005-07-06,22.75,,
2005-07-07,22.7,,
