date,nav,shares_outstanding,total_net_assets
2015-10-07,30.0,100000,3000000.0
2015-10-08,30.256859,100000,3025685.88
2015-10-09,30.185161,100000,3018516.09
2015-10-12,30.357426,100000,3035742.58
2015-10-13,30.134279,100000,3013427.94
2015-10-14,29.919693,100000,2991969.29
2015-10-15,30.342907,100000,3034290.73
2015-10-16,30.642946,100000,3064294.55
2015-10-19,31.05203,100000,3105203.01
2015-10-20,31.017598,100000,3101759.75
2015-10-21,30.972136,150000,4645820.4
2015-10-22,31.419452,150000,4712917.82
2015-10-23,31.050621,150000,4657593.12
2015-10-26,31.107489,150000,4666123.39
2015-10-27,31.091773,150000,4663765.91
2015-10-28,31.16144,150000,4674216.03
2015-10-29,31.173547,150000,4676032.08
2015-10-30,30.943761,150000,4641564.13
2015-11-02,31.670021,150000,4750503.15
2015-11-03,31.344746,150000,4701711.93
2015-11-04,31.162282,150000,4674342.25
2015-11-05,31.175421,150000,4676313.12
2015-11-06,30.198133,150000,4529720.01
2015-11-09,29.822941,150000,4473441.22
2015-11-10,30.064108,150000,4509616.19
2015-11-11,30.135904,150000,4520385.65
2015-11-12,29.961836,200000,5992367.24
2015-11-13,29.589134,100000,2958913.37
2015-11-16,29.972889,100000,2997288.86
2015-11-17,30.015423,150000,4502313.51
2015-11-18,30.403685,150000,4560552.77
2015-11-19,30.502865,100000,3050286.5
2015-11-20,30.846744,100000,3084674.41
2015-11-23,30.862166,150000,4629324.85
2015-11-24,30.656567,150000,4598485.11
2015-11-25,30.770332,150000,4615549.8
2015-11-27,30.997841,150000,4649676.21
2015-11-30,30.745347,150000,4611802.0
2015-12-01,31.221753,150000,4683262.98
2015-12-02,30.585217,150000,4587782.61
2015-12-03,30.151359,150000,4522703.78
2015-12-04,30.766896,150000,4615034.34
2015-12-07,30.742687,150000,4611403.04
2015-12-08,30.71275,150000,4606912.48
2015-12-09,30.477131,150000,4571569.65
2015-12-10,30.225443,150000,4533816.45
2015-12-11,30.150332,150000,4522549.81
2015-12-14,30.331381,150000,4549707.09
2015-12-15,30.652732,150000,4597909.75
2015-12-16,31.260707,150000,4689106.01
2015-12-17,31.056247,150000,4658437.0
2015-12-18,30.258533,150000,4538779.97
2015-12-21,30.446477,150000,4566971.58
2015-12-22,30.589104,150000,4588365.61
2015-12-23,30.98354,150000,4647531.06
2015-12-24,30.969398,150000,4645409.66
2015-12-28,31.115201,150000,4667280.13
2015-12-29,31.450162,150000,4717524.24
2015-12-30,31.290947,150000,4693642.07
2015-12-31,31.037825,150000,4655673.73
2016-01-04,30.662019,150000,4599302.82
2016-01-05,31.278608,150000,4691791.16
2016-01-06,31.070739,200000,6214147.75
2016-01-07,30.442503,200000,6088500.6
2016-01-08,30.020668,200000,6004133.69
2016-01-11,30.173558,200000,6034711.51
2016-01-12,30.021549,200000,6004309.8
2016-01-13,29.590124,200000,5918024.78
2016-01-14,29.60086,200000,5920172.06
2016-01-15,29.223865,200000,5844773.01
2016-01-19,29.424662,200000,5884932.31
2016-01-20,28.540512,200000,5708102.37
2016-01-21,28.785719,200000,5757143.89
2016-01-22,29.541117,200000,5908223.48
2016-01-25,29.277125,200000,5855425.03
2016-01-26,29.854582,200000,5970916.43
2016-01-27,29.329253,200000,5865850.59
2016-01-28,29.066516,200000,5813303.24
2016-01-29,29.618465,200000,5923692.96
2016-02-01,29.660311,200000,5932062.26
2016-02-02,29.333697,200000,5866739.42
2016-02-03,29.452557,250000,7363139.22
2016-02-04,29.489091,250000,7372272.82
2016-02-05,28.690697,250000,7172674.36
2016-02-08,27.827805,250000,6956951.21
2016-02-09,27.343256,250000,6835814.1
2016-02-10,27.538974,250000,6884743.4
2016-02-11,27.192991,250000,6798247.67
2016-02-12,27.556499,250000,6889124.83
2016-02-16,28.023008,250000,7005752.04
2016-02-17,28.302212,250000,7075552.92
