date,nav,shares_outstanding,total_net_assets
2003-12-01,22.19,,
2003-12-02,22.16,,
2003-12-03,22.13,,
2003-12-04,22.25,,
2003-12-05,22.28,,
2003-12-08,22.45,,
2003-12-09,22.25,,
2003-12-10,22.25,,
2003-12-11,22.37,,
2003-12-12,22.42,,
2003-12-15,22.43,,
2003-12-16,22.53,,
2003-12-17,22.66,,
2003-12-18,22.91,,
2003-12-19,22.78,,
2003-12-22,22.96,,
2003-12-23,23.09,,
2003-12-24,23.06,,
2003-12-26,23.06,,
2003-12-29,23.28,,
2003-12-30,23.36,,
2003-12-31,23.29,,
2004-01-02,23.28,,
2004-01-05,23.28,,
2004-01-06,23.22,,
2004-01-07,23.4,,
2004-01-08,23.4,,
2004-01-09,23.32,,
2004-01-12,23.24,,
2004-01-13,23.21,,
2004-01-14,23.43,,
2004-01-15,23.28,,
2004-01-16,23.34,,
2004-01-20,23.54,,
2004-01-21,23.93,,
2004-01-22,23.91,,
2004-01-23,23.82,,
2004-01-26,23.69,,
2004-01-27,23.57,,
2004-01-28,23.72,,
2004-01-29,23.81,,
2004-01-30,23.77,,
2004-02-02,23.72,,
2004-02-03,23.86,,
2004-02-04,23.53,,
2004-02-05,23.37,,
2004-02-06,23.6,,
2004-02-09,23.7,,
2004-02-10,23.88,,
2004-02-11,23.98,,
2004-02-12,23.85,,
2004-02-13,23.73,,
2004-02-17,23.99,,
2004-02-18,24.02,,
2004-02-19,23.87,,
2004-02-20,23.7,,
2004-02-23,23.75,,
2004-02-24,23.65,,
2004-02-25,23.87,,
2004-02-26,23.96,,
2004-02-27,24.23,,
2004-03-01,24.42,,
2004-03-02,24.32,,
2004-03-03,24.32,,
2004-03-04,24.39,,
2004-03-05,24.57,,
2004-03-08,24.49,,
2004-03-09,24.44,,
2004-03-10,24.18,,
2004-03-11,23.84,,
2004-03-12,24.03,,
2004-03-15,23.99,,
2004-03-16,24.12,,
2004-03-17,24.55,,
2004-03-18,24.44,,
2004-03-19,24.14,,
2004-03-22,23.87,,
2004-03-23,23.85,,
2004-03-24,23.83,,
2004-03-25,23.89,,
2004-03-26,23.93,,
2004-03-29,24.08,,
2004-03-30,24.23,,
2004-03-31,24.27,,
2004-04-01,24.41,,
2004-04-02,24.34,,
2004-04-05,24.37,,
2004-04-06,24.38,,
2004-04-07,24.18,,
2004-04-08,24.12,,
2004-04-12,23.73,,
2004-04-13,23.32,,
2004-04-14,23.27,,
2004-04-15,23.4,,
2004-04-16,23.52,,
2004-04-19,23.42,,
2004-04-20,23.25,,
2004-04-21,23.22,,
2004-04-22,23.51,,
2004-04-23,23.53,,
2004-04-26,23.67,,
2004-04-27,23.63,,
2004-04-28,23.65,,
2004-04-29,23.37,,
2004-04-30,23.37,,
2004-05-03,23.48,,
2004-05-04,23.53,,
2004-05-05,23.38,,
