date,nav,shares_outstanding,total_net_assets
2003-12-01,29.04,,
2003-12-02,29.05,,
2003-12-03,29.1,,
2003-12-04,29.14,,
2003-12-05,28.96,,
2003-12-08,29.19,,
2003-12-09,29.06,,
2003-12-10,28.92,,
2003-12-11,29.27,,
2003-12-12,29.29,,
2003-12-15,29.21,,
2003-12-16,29.35,,
2003-12-17,29.42,,
2003-12-18,29.64,,
2003-12-19,29.51,,
2003-12-22,29.47,,
2003-12-23,29.55,,
2003-12-24,29.61,,
2003-12-26,29.63,,
2003-12-29,29.98,,
2003-12-30,30.01,,
2003-12-31,30.09,,
2004-01-02,30.22,,
2004-01-05,30.37,,
2004-01-06,30.4,,
2004-01-07,30.63,,
2004-01-08,30.51,,
2004-01-09,30.26,,
2004-01-12,30.26,,
2004-01-13,30.13,,
2004-01-14,30.35,,
2004-01-15,30.37,,
2004-01-16,30.45,,
2004-01-20,30.4,,
2004-01-21,30.82,,
2004-01-22,30.91,,
2004-01-23,30.77,,
2004-01-26,31.21,,
2004-01-27,30.92,,
2004-01-28,30.67,,
2004-01-29,31.12,,
2004-01-30,30.94,,
2004-02-02,31.37,,
2004-02-03,31.57,,
2004-02-04,31.68,,
2004-02-05,31.5,,
2004-02-06,31.72,,
2004-02-09,31.45,,
2004-02-10,31.61,,
2004-02-11,31.88,,
2004-02-12,31.72,,
2004-02-13,31.58,,
2004-02-17,31.72,,
2004-02-18,31.56,,
2004-02-19,31.44,,
2004-02-20,31.35,,
2004-02-23,31.21,,
2004-02-24,31.34,,
2004-02-25,31.38,,
2004-02-26,31.35,,
2004-02-27,31.22,,
2004-03-01,31.39,,
2004-03-02,31.17,,
2004-03-03,31.34,,
2004-03-04,31.48,,
2004-03-05,31.57,,
2004-03-08,31.54,,
2004-03-09,31.25,,
2004-03-10,30.7,,
2004-03-11,30.14,,
2004-03-12,30.31,,
2004-03-15,29.96,,
2004-03-16,30.14,,
2004-03-17,30.15,,
2004-03-18,30.06,,
2004-03-19,29.58,,
2004-03-22,29.23,,
2004-03-23,29.33,,
2004-03-24,29.13,,
2004-03-25,29.35,,
2004-03-26,29.36,,
2004-03-29,29.81,,
2004-03-30,29.8,,
2004-03-31,29.87,,
2004-04-01,30.13,,
2004-04-02,30.5,,
2004-04-05,30.82,,
2004-04-06,30.69,,
2004-04-07,30.58,,
2004-04-08,30.44,,
2004-04-12,30.64,,
2004-04-13,30.41,,
2004-04-14,30.66,,
2004-04-15,31.26,,
2004-04-16,31.43,,
2004-04-19,31.41,,
2004-04-20,30.85,,
2004-04-21,31.2,,
2004-04-22,31.36,,
2004-04-23,31.27,,
2004-04-26,31.17,,
2004-04-27,31.3,,
2004-04-28,31.0,,
2004-04-29,30.81,,
2004-04-30,30.77,,
2004-05-03,31.21,,
2004-05-04,31.19,,
2004-05-05,31.34,,
2004-05-06,31.28,,
2004-05-07,31.08,,
2004-05-10,30.66,,
2004-05-11,30.71,,
2004-05-12,30.79,,
2004-05-13,30.72,,
2004-05-14,30.78,,
2004-05-17,30.59,,
2004-05-18,30.57,,
2004-05-19,30.32,,
2004-05-20,30.13,,
2004-05-21,30.17,,
2004-05-24,29.96,,
2004-05-25,30.3,,
2004-05-26,30.43,,
2004-05-27,30.43,,
2004-05-28,30.72,,
2004-06-01,30.93,,
2004-06-02,31.08,,
2004-06-03,30.98,,
2004-06-04,31.09,,
2004-06-07,31.37,,
2004-06-08,31.43,,
2004-06-09,31.08,,
2004-06-10,31.08,,
2004-06-14,30.87,,
2004-06-15,30.89,,
2004-06-16,30.93,,
2004-06-17,30.93,,
2004-06-18,30.85,,
2004-06-21,30.62,,
2004-06-22,30.52,,
2004-06-23,30.7,,
2004-06-24,30.68,,
2004-06-25,30.29,,
2004-06-28,30.27,,
2004-06-29,30.45,,
2004-06-30,30.56,,
2004-07-01,30.16,,
2004-07-02,30.09,,
2004-07-06,29.84,,
2004-07-07,29.81,,
2004-07-08,29.72,,
2004-07-09,29.66,,
2004-07-12,29.58,,
2004-07-13,29.77,,
2004-07-14,29.86,,
2004-07-15,29.56,,
2004-07-16,29.34,,
2004-07-19,29.17,,
2004-07-20,29.29,,
2004-07-21,28.97,,
2004-07-22,29.09,,
2004-07-23,28.84,,
2004-07-26,28.63,,
2004-07-27,28.79,,
2004-07-28,28.66,,
2004-07-29,28.8,,
2004-07-30,28.9,,
2004-08-02,28.91,,
2004-08-03,28.85,,
2004-08-04,28.8,,
2004-08-05,28.26,,
2004-08-06,27.86,,
2004-08-09,27.78,,
2004-08-10,28.2,,
2004-08-11,28.63,,
2004-08-12,28.45,,
2004-08-13,28.27,,
2004-08-16,28.64,,
2004-08-17,28.67,,
2004-08-18,29.09,,
2004-08-19,28.96,,
2004-08-20,29.17,,
2004-08-23,29.1,,
2004-08-24,29.14,,
2004-08-25,29.39,,
2004-08-26,29.37,,
2004-08-27,29.56,,
2004-08-30,29.22,,
2004-08-31,29.4,,
2004-09-01,29.48,,
2004-09-02,29.78,,
2004-09-03,29.75,,
2004-09-07,29.93,,
2004-09-08,29.88,,
2004-09-09,29.76,,
2004-09-10,29.68,,
2004-09-13,29.8,,
2004-09-14,29.96,,
2004-09-15,29.86,,
2004-09-16,29.83,,
2004-09-17,29.83,,
2004-09-20,29.54,,
2004-09-21,29.67,,
2004-09-22,29.27,,
2004-09-23,29.11,,
2004-09-24,29.18,,
2004-09-27,29.01,,
2004-09-28,29.26,,
2004-09-29,29.37,,
2004-09-30,28.8,,
2004-10-01,29.09,,
2004-10-04,29.2,,
2004-10-05,29.09,,
2004-10-06,29.04,,
2004-10-07,28.37,,
2004-10-08,28.07,,
2004-10-11,28.18,,
2004-10-12,28.17,,
2004-10-13,27.89,,
2004-10-14,27.68,,
2004-10-15,27.68,,
2004-10-18,27.98,,
2004-10-19,27.46,,
2004-10-20,27.47,,
2004-10-21,27.23,,
2004-10-22,27.0,,
2004-10-25,26.87,,
2004-10-26,27.38,,
2004-10-27,28.15,,
2004-10-28,28.14,,
2004-10-29,28.15,,
2004-11-01,27.86,,
2004-11-02,27.65,,
2004-11-03,28.49,,
2004-11-04,28.58,,
2004-11-05,28.71,,
2004-11-08,28.69,,
2004-11-09,28.7,,
2004-11-10,28.65,,
2004-11-11,28.79,,
2004-11-12,28.9,,
2004-11-15,29.01,,
2004-11-16,28.8,,
2004-11-17,28.83,,
2004-11-18,28.73,,
2004-11-19,28.41,,
2004-11-22,28.46,,
2004-11-23,28.37,,
2004-11-24,28.44,,
2004-11-26,28.59,,
2004-11-29,28.6,,
2004-11-30,28.66,,
2004-12-01,29.17,,
2004-12-02,29.44,,
2004-12-03,29.3,,
2004-12-06,29.16,,
2004-12-07,28.86,,
2004-12-08,29.32,,
2004-12-09,29.57,,
2004-12-10,29.48,,
2004-12-13,29.64,,
2004-12-14,29.87,,
2004-12-15,29.96,,
2004-12-16,30.4,,
2004-12-17,29.7,,
2004-12-20,29.35,,
2004-12-21,29.62,,
2004-12-22,29.83,,
2004-12-23,29.92,,
2004-12-27,29.9,,
2004-12-28,30.22,,
2004-12-29,30.28,,
2004-12-30,30.29,,
2004-12-31,30.18,,
2005-01-03,29.86,,
2005-01-04,29.64,,
2005-01-05,29.56,,
2005-01-06,29.77,,
2005-01-07,29.77,,
2005-01-10,30.0,,
2005-01-11,29.83,,
2005-01-12,30.02,,
2005-01-13,29.53,,
2005-01-14,29.7,,
2005-01-18,29.9,,
2005-01-19,29.72,,
2005-01-20,29.61,,
2005-01-21,29.35,,
2005-01-24,29.11,,
2005-01-25,29.33,,
2005-01-26,29.49,,
2005-01-27,29.45,,
2005-01-28,29.21,,
2005-01-31,29.22,,
2005-02-01,29.52,,
2005-02-02,29.64,,
2005-02-03,29.56,,
2005-02-04,29.81,,
2005-02-07,29.87,,
2005-02-08,29.91,,
2005-02-09,29.58,,
2005-02-10,29.67,,
2005-02-11,29.98,,
2005-02-14,29.99,,
2005-02-15,29.99,,
2005-02-16,29.91,,
2005-02-17,29.88,,
2005-02-18,30.35,,
2005-02-22,29.93,,
2005-02-23,30.12,,
2005-02-24,30.35,,
2005-02-25,30.61,,
2005-02-28,30.13,,
2005-03-01,30.4,,
2005-03-02,30.41,,
2005-03-03,30.4,,
2005-03-04,30.63,,
2005-03-07,30.73,,
2005-03-08,30.52,,
2005-03-09,30.35,,
2005-03-10,30.44,,
2005-03-11,30.12,,
2005-03-14,30.25,,
2005-03-15,29.89,,
2005-03-16,29.66,,
2005-03-17,29.71,,
2005-03-18,29.63,,
2005-03-21,29.46,,
2005-03-22,29.42,,
2005-03-23,29.79,,
2005-03-24,29.81,,
2005-03-28,29.76,,
2005-03-29,29.66,,
2005-03-30,30.1,,
2005-03-31,29.87,,
2005-04-01,29.63,,
2005-04-04,29.78,,
2005-04-05,30.33,,
2005-04-06,30.38,,
2005-04-07,30.67,,
2005-04-08,30.43,,
2005-04-11,30.43,,
2005-04-12,30.6,,
2005-04-13,30.75,,
2005-04-14,30.67,,
2005-04-15,30.79,,
2005-04-18,30.55,,
2005-04-19,30.56,,
2005-04-20,30.18,,
2005-04-21,30.6,,
2005-04-22,30.52,,
2005-04-25,30.56,,
2005-04-26,30.36,,
2005-04-27,30.63,,
2005-04-28,30.42,,
2005-04-29,30.87,,
2005-05-02,30.98,,
2005-05-03,31.05,,
2005-05-04,31.31,,
2005-05-05,31.31,,
2005-05-06,31.22,,
2005-05-09,31.4,,
2005-05-10,31.21,,
2005-05-11,31.34,,
2005-05-12,31.27,,
2005-05-13,31.09,,
2005-05-16,31.43,,
2005-05-17,31.46,,
2005-05-18,31.48,,
2005-05-19,31.51,,
2005-05-20,31.43,,
2005-05-23,31.54,,
2005-05-24,31.55,,
2005-05-25,31.38,,
2005-05-26,31.49,,
2005-05-27,31.4,,
2005-05-31,31.2,,
2005-06-01,31.37,,
2005-06-02,31.42,,
2005-06-03,31.22,,
2005-06-06,31.26,,
2005-06-07,31.28,,
2005-06-08,31.05,,
2005-06-09,31.22,,
2005-06-10,31.1,,
2005-06-13,31.26,,
2005-06-14,31.51,,
2005-06-15,31.44,,
2005-06-16,31.57,,
2005-06-17,31.64,,
2005-06-20,31.65,,
2005-06-21,31.55,,
2005-06-22,31.47,,
2005-06-23,31.25,,
2005-06-24,31.09,,
2005-06-27,30.96,,
2005-06-28,31.28,,
2005-06-29,31.23,,
2005-06-30,31.0,,
2005-07-01,30.93,,
2005-07-05,31.12,,
2005-07-06,30.9,,
2005-07-07,30.91,,
2005-07-08,31.29,,
2005-07-11,31.38,,
2005-07-12,31.37,,
2005-07-13,31.2,,
2005-07-14,31.36,,
2005-07-15,31.48,,
2005-07-18,31.3,,
2005-07-19,31.34,,
2005-07-20,31.75,,
2005-07-21,31.45,,
2005-07-22,31.43,,
2005-07-25,31.24,,
2005-07-26,31.32,,
2005-07-27,31.62,,
2005-07-28,31.91,,
2005-07-29,31.73,,
2005-08-01,31.91,,
2005-08-02,32.03,,
2005-08-03,32.08,,
2005-08-04,31.78,,
2005-08-05,31.53,,
2005-08-08,31.4,,
2005-08-09,31.76,,
2005-08-10,31.73,,
2005-08-11,31.95,,
2005-08-12,31.74,,
2005-08-15,31.77,,
2005-08-16,31.54,,
2005-08-17,31.62,,
2005-08-18,31.64,,
2005-08-19,31.41,,
2005-08-22,31.39,,
2005-08-23,31.2,,
2005-08-24,31.1,,
2005-08-25,31.16,,
2005-08-26,31.02,,
2005-08-29,31.33,,
2005-08-30,31.29,,
2005-08-31,31.65,,
2005-09-01,31.63,,
2005-09-02,31.64,,
2005-09-06,32.13,,
2005-09-07,32.35,,
2005-09-08,32.27,,
2005-09-09,32.42,,
2005-09-12,32.31,,
2005-09-13,31.92,,
2005-09-14,31.86,,
2005-09-15,31.87,,
2005-09-16,32.02,,
2005-09-19,31.78,,
2005-09-20,31.54,,
2005-09-21,31.39,,
2005-09-22,31.42,,
2005-09-23,31.44,,
2005-09-26,31.38,,
2005-09-27,31.23,,
2005-09-28,31.24,,
2005-09-29,31.34,,
2005-09-30,31.37,,
2005-10-03,31.34,,
2005-10-04,31.49,,
2005-10-05,31.0,,
2005-10-06,30.79,,
2005-10-07,30.71,,
2005-10-10,30.68,,
2005-10-11,30.45,,
2005-10-12,30.5,,
2005-10-13,30.67,,
2005-10-14,30.83,,
2005-10-17,30.8,,
2005-10-18,30.74,,
2005-10-19,31.1,,
2005-10-20,30.42,,
2005-10-21,30.23,,
2005-10-24,30.47,,
2005-10-25,30.28,,
2005-10-26,29.92,,
2005-10-27,29.78,,
2005-10-28,30.26,,
2005-10-31,30.43,,
2005-11-01,30.28,,
2005-11-02,30.31,,
2005-11-03,30.52,,
2005-11-04,30.65,,
2005-11-07,30.7,,
2005-11-08,30.62,,
2005-11-09,30.69,,
2005-11-10,31.05,,
2005-11-11,31.11,,
2005-11-14,30.84,,
2005-11-15,31.06,,
2005-11-16,30.98,,
2005-11-17,31.16,,
2005-11-18,31.25,,
2005-11-21,31.31,,
2005-11-22,31.17,,
2005-11-23,31.2,,
2005-11-25,31.24,,
2005-11-28,30.92,,
2005-11-29,30.94,,
2005-11-30,30.79,,
2005-12-01,31.08,,
2005-12-02,31.19,,
2005-12-05,31.22,,
2005-12-06,31.18,,
2005-12-07,31.07,,
2005-12-08,31.15,,
2005-12-09,31.19,,
2005-12-12,31.19,,
2005-12-13,31.56,,
2005-12-14,31.64,,
2005-12-15,31.75,,
2005-12-16,31.69,,
2005-12-19,32.0,,
2005-12-20,31.95,,
2005-12-21,32.07,,
2005-12-22,32.29,,
2005-12-23,32.29,,
2005-12-27,32.02,,
2005-12-28,32.05,,
2005-12-29,31.93,,
2005-12-30,31.72,,
2006-01-03,32.13,,
2006-01-04,32.41,,
2006-01-05,32.36,,
2006-01-06,32.59,,
2006-01-09,32.74,,
2006-01-10,32.6,,
2006-01-11,32.53,,
2006-01-12,32.5,,
2006-01-13,32.44,,
2006-01-17,32.35,,
2006-01-18,32.43,,
2006-01-19,32.6,,
2006-01-20,31.97,,
2006-01-23,31.91,,
2006-01-24,31.8,,
2006-01-25,31.77,,
2006-01-26,31.92,,
2006-01-27,32.32,,
2006-01-30,32.16,,
2006-01-31,32.17,,
2006-02-01,32.36,,
2006-02-02,32.08,,
2006-02-03,31.99,,
2006-02-06,31.71,,
2006-02-07,31.65,,
2006-02-08,32.06,,
2006-02-09,32.09,,
2006-02-10,32.02,,
2006-02-13,32.0,,
2006-02-14,32.31,,
2006-02-15,32.54,,
2006-02-16,32.71,,
2006-02-17,32.69,,
2006-02-21,32.49,,
2006-02-22,32.79,,
2006-02-23,32.67,,
2006-02-24,32.67,,
2006-02-27,32.92,,
2006-02-28,32.48,,
2006-03-01,32.55,,
2006-03-02,32.45,,
2006-03-03,32.35,,
2006-03-06,32.17,,
2006-03-07,32.22,,
2006-03-08,32.46,,
2006-03-09,32.28,,
2006-03-10,32.42,,
2006-03-13,32.46,,
2006-03-14,32.64,,
2006-03-15,32.73,,
2006-03-16,32.73,,
2006-03-17,32.73,,
2006-03-20,32.78,,
2006-03-21,32.55,,
2006-03-22,32.89,,
2006-03-23,32.72,,
2006-03-24,32.68,,
2006-03-27,32.43,,
2006-03-28,32.14,,
2006-03-29,32.22,,
2006-03-30,32.15,,
2006-03-31,31.98,,
2006-04-03,31.97,,
2006-04-04,32.02,,
2006-04-05,31.91,,
2006-04-06,31.68,,
2006-04-07,31.29,,
2006-04-10,31.2,,
2006-04-11,30.88,,
2006-04-12,31.05,,
2006-04-13,31.02,,
2006-04-17,30.85,,
2006-04-18,31.13,,
2006-04-19,30.97,,
2006-04-20,31.2,,
2006-04-21,31.13,,
2006-04-24,31.02,,
2006-04-25,30.82,,
2006-04-26,30.85,,
2006-04-27,30.66,,
2006-04-28,30.95,,
2006-05-01,30.75,,
2006-05-02,30.72,,
2006-05-03,30.4,,
2006-05-04,30.48,,
2006-05-05,30.75,,
2006-05-08,30.74,,
2006-05-09,30.55,,
2006-05-10,30.57,,
2006-05-11,30.46,,
2006-05-12,30.38,,
2006-05-15,30.8,,
2006-05-16,30.92,,
2006-05-17,30.58,,
2006-05-18,30.43,,
2006-05-19,30.3,,
2006-05-22,30.16,,
2006-05-23,30.0,,
2006-05-24,30.13,,
2006-05-25,30.39,,
2006-05-26,30.56,,
2006-05-30,30.1,,
2006-05-31,30.34036,55953600,1697652367.08
2006-06-01,30.773828,55503600,1708058261.47
2006-06-02,30.874775,55503600,1713661168.06
2006-06-05,30.421251,55503600,1688488940.44
2006-06-06,30.463679,55503600,1690843855.79
2006-06-07,30.61179,55503600,1699064521.86
2006-06-08,30.667523,55503600,1702157957.12
2006-06-09,30.455753,55503600,1690403912.52
2006-06-12,30.138995,55503600,1672822750.16
2006-06-13,30.054039,55503600,1668107365.12
2006-06-14,30.126176,55103600,1660060770.13
2006-06-15,30.523484,54103600,1651430375.09
2006-06-16,30.326031,54103600,1640747447.23
2006-06-19,30.048736,54103600,1625744769.82
2006-06-20,29.97467,54103600,1621737563.04
2006-06-21,30.118158,54103600,1629500779.14
2006-06-22,29.945062,54103600,1620135630.53
2006-06-23,29.957525,54103600,1620809943.21
2006-06-26,29.899652,54103600,1617678797.69
2006-06-27,29.510614,54103600,1596630443.28
2006-06-28,29.586047,55103600,1630297716.52
2006-06-29,30.081417,55103600,1657594395.65
2006-06-30,30.227048,55103600,1665619185.36
2006-07-03,30.328576,53103600,1610556590.35
2006-07-05,30.243475,53103600,1606037377.4
2006-07-06,30.37219,53103600,1612872616.41
2006-07-07,30.41343,53103600,1615062612.13
2006-07-10,30.548786,53103600,1622250528.57
2006-07-11,30.630283,53103600,1626578296.4
2006-07-12,30.43606,53503600,1628438770.18
2006-07-13,30.191259,53503600,1615341057.87
2006-07-14,29.974314,54503600,1633708031.47
2006-07-17,30.084428,55003600,1654751849.97
2006-07-18,30.110473,56503600,1701350131.32
2006-07-19,30.843206,56503600,1742752167.45
2006-07-20,30.860368,56503600,1743721890.28
2006-07-21,30.938538,56153600,1737310285.34
2006-07-24,31.563543,56153600,1772406584.37
2006-07-25,31.83329,56153600,1787553833.38
2006-07-26,31.947858,57003600,1821142923.16
2006-07-27,31.826653,57003600,1814233794.22
2006-07-28,32.019933,57003600,1825251448.12
2006-07-31,31.863505,58203600,1854570700.05
2006-08-01,31.895359,58703600,1872372407.39
2006-08-02,32.093861,60454235,1940209844.59
2006-08-03,31.822971,60454235,1923833394.54
2006-08-04,31.831444,60204235,1916387728.81
2006-08-07,31.728297,60754235,1927628433.25
2006-08-08,31.735524,60754235,1928067496.78
2006-08-09,31.754363,60754235,1929212031.42
2006-08-10,31.762125,60754235,1929683617.65
2006-08-11,31.579178,60754235,1918568828.85
2006-08-14,31.639249,60754235,1922218383.74
2006-08-15,31.918622,59504235,1899293155.07
2006-08-16,32.160774,59504235,1913702233.1
2006-08-17,32.241888,59504235,1918528900.71
2006-08-18,32.305316,59454235,1920687839.1
2006-08-21,32.197875,59454235,1914300044.82
2006-08-22,32.290986,59454235,1919835871.27
2006-08-23,32.29623,59004235,1905614324.78
2006-08-24,32.531172,59004235,1919476915.78
2006-08-25,32.507616,59004235,1918087008.52
2006-08-28,32.739484,58704235,1921946333.63
2006-08-29,32.851846,58704235,1928542492.37
2006-08-30,32.873554,58704235,1929816811.54
2006-08-31,32.81826,58704235,1926570862.01
2006-09-01,32.985818,58704235,1936407186.41
2006-09-05,32.864032,57404235,1886534604.9
2006-09-06,32.670945,57554235,1880351221.84
2006-09-07,32.479856,57554235,1869353288.58
2006-09-08,32.698859,57554235,1881957838.83
2006-09-11,32.928977,57554235,1895202056.43
2006-09-12,33.311302,56854235,1893888592.38
2006-09-13,33.234469,57004235,1894505474.18
2006-09-14,33.199762,57004235,1892527048.75
2006-09-15,33.150685,56204235,1863208911.74
2006-09-18,33.118364,57104235,1891198820.39
2006-09-19,33.157381,57104235,1893426880.2
2006-09-20,33.34425,57854235,1929106074.85
2006-09-21,33.121207,57854235,1916202113.45
2006-09-22,32.909315,57854235,1903943264.48
2006-09-25,33.037574,58604235,1936141733.71
2006-09-26,33.059866,58604235,1937448138.97
2006-09-27,33.114312,58604235,1940638900.36
2006-09-28,33.119348,58754874,1945923102.58
2006-09-29,33.167444,58754874,1948749016.76
2006-10-02,32.975719,58754874,1937484201.94
2006-10-03,33.098322,58754874,1944687750.88
2006-10-04,33.349002,58754874,1959416404.84
2006-10-05,33.364792,58754874,1960344140.74
2006-10-06,33.274649,58254874,1938410509.31
2006-10-09,33.156754,58254874,1931542546.52
2006-10-10,33.047689,59054874,1951627100.4
2006-10-11,33.028405,59254874,1957094000.53
2006-10-12,33.24478,59254874,1969915225.05
2006-10-13,33.108251,59254874,1961825246.06
2006-10-16,33.138961,60804874,2015010368.57
2006-10-17,33.231836,60804874,2020657590.69
2006-10-18,33.62287,61154874,2056202350.99
2006-10-19,33.639629,59654874,2006767851.23
2006-10-20,33.850608,59654874,2019353774.18
2006-10-23,33.912629,60204874,2041705578.61
