date,nav,shares_outstanding,total_net_assets
2003-12-01,30.63,,
2003-12-02,30.37,,
2003-12-03,30.28,,
2003-12-04,30.18,,
2003-12-05,29.87,,
2003-12-08,30.03,,
2003-12-09,29.96,,
2003-12-10,29.76,,
2003-12-11,30.25,,
2003-12-12,30.38,,
2003-12-15,30.18,,
2003-12-16,30.19,,
2003-12-17,30.41,,
2003-12-18,30.83,,
2003-12-19,30.84,,
2003-12-22,31.01,,
2003-12-23,31.05,,
2003-12-24,30.93,,
2003-12-26,31.01,,
2003-12-29,31.34,,
2003-12-30,31.32,,
2003-12-31,31.48,,
2004-01-02,31.23,,
2004-01-05,31.48,,
2004-01-06,31.62,,
2004-01-07,31.74,,
2004-01-08,31.73,,
2004-01-09,31.48,,
2004-01-12,31.49,,
2004-01-13,31.44,,
2004-01-14,31.69,,
2004-01-15,31.72,,
2004-01-16,31.71,,
2004-01-20,31.56,,
2004-01-21,31.94,,
2004-01-22,32.11,,
2004-01-23,32.04,,
2004-01-26,32.15,,
2004-01-27,31.83,,
2004-01-28,31.09,,
2004-01-29,31.36,,
2004-01-30,31.23,,
2004-02-02,31.22,,
2004-02-03,31.1,,
2004-02-04,30.95,,
2004-02-05,31.2,,
2004-02-06,31.6,,
2004-02-09,31.63,,
2004-02-10,31.87,,
2004-02-11,32.26,,
2004-02-12,32.01,,
2004-02-13,31.71,,
2004-02-17,32.09,,
2004-02-18,31.99,,
2004-02-19,31.9,,
2004-02-20,31.78,,
2004-02-23,31.55,,
2004-02-24,31.52,,
2004-02-25,31.69,,
2004-02-26,31.88,,
2004-02-27,31.88,,
2004-03-01,32.2,,
2004-03-02,32.05,,
2004-03-03,32.14,,
2004-03-04,32.29,,
2004-03-05,32.38,,
2004-03-08,32.07,,
2004-03-09,31.86,,
2004-03-10,31.33,,
2004-03-11,30.95,,
2004-03-12,31.39,,
2004-03-15,30.79,,
2004-03-16,30.91,,
2004-03-17,31.39,,
2004-03-18,31.39,,
2004-03-19,31.16,,
2004-03-22,30.69,,
2004-03-23,30.65,,
2004-03-24,30.7,,
2004-03-25,31.27,,
2004-03-26,31.29,,
2004-03-29,31.63,,
2004-03-30,31.78,,
2004-03-31,31.8,,
2004-04-01,31.87,,
2004-04-02,32.13,,
2004-04-05,32.49,,
2004-04-06,32.5,,
2004-04-07,32.14,,
2004-04-08,32.03,,
2004-04-12,32.21,,
2004-04-13,31.68,,
2004-04-14,31.66,,
2004-04-15,31.64,,
2004-04-16,31.86,,
2004-04-19,31.89,,
2004-04-20,31.6,,
2004-04-21,31.78,,
2004-04-22,32.32,,
2004-04-23,32.23,,
2004-04-26,32.03,,
2004-04-27,32.21,,
2004-04-28,31.88,,
2004-04-29,31.59,,
2004-04-30,31.3,,
2004-05-03,31.52,,
2004-05-04,31.46,,
2004-05-05,31.49,,
2004-05-06,31.02,,
2004-05-07,30.38,,
2004-05-10,29.99,,
2004-05-11,30.44,,
2004-05-12,30.46,,
2004-05-13,30.35,,
2004-05-14,30.4,,
2004-05-17,29.95,,
2004-05-18,30.39,,
2004-05-19,30.3,,
2004-05-20,30.32,,
2004-05-21,30.49,,
2004-05-24,30.74,,
2004-05-25,31.38,,
2004-05-26,31.42,,
2004-05-27,31.42,,
2004-05-28,31.53,,
2004-06-01,31.55,,
2004-06-02,31.67,,
2004-06-03,31.49,,
2004-06-04,31.59,,
2004-06-07,32.03,,
2004-06-08,32.18,,
2004-06-09,31.91,,
2004-06-10,32.05,,
2004-06-14,31.65,,
2004-06-15,31.85,,
2004-06-16,31.9,,
2004-06-17,31.91,,
2004-06-18,31.9,,
2004-06-21,31.77,,
2004-06-22,31.67,,
2004-06-23,31.9,,
2004-06-24,31.89,,
2004-06-25,31.88,,
2004-06-28,31.8,,
2004-06-29,31.56,,
2004-06-30,31.65,,
2004-07-01,31.44,,
2004-07-02,31.31,,
2004-07-06,31.03,,
2004-07-07,31.03,,
2004-07-08,30.56,,
2004-07-09,30.71,,
2004-07-12,30.82,,
2004-07-13,30.93,,
2004-07-14,30.81,,
2004-07-15,30.68,,
2004-07-16,30.31,,
2004-07-19,30.18,,
2004-07-20,30.55,,
2004-07-21,30.25,,
2004-07-22,30.32,,
2004-07-23,30.05,,
2004-07-26,29.87,,
2004-07-27,30.39,,
2004-07-28,30.25,,
2004-07-29,30.42,,
2004-07-30,30.39,,
2004-08-02,30.63,,
2004-08-03,30.33,,
2004-08-04,30.13,,
2004-08-05,29.61,,
2004-08-06,29.18,,
2004-08-09,29.15,,
2004-08-10,29.58,,
2004-08-11,29.34,,
2004-08-12,28.96,,
2004-08-13,29.02,,
2004-08-16,29.7,,
2004-08-17,30.0,,
2004-08-18,30.34,,
2004-08-19,30.27,,
2004-08-20,30.47,,
2004-08-23,30.34,,
2004-08-24,30.41,,
2004-08-25,30.62,,
2004-08-26,30.62,,
2004-08-27,30.62,,
2004-08-30,30.34,,
2004-08-31,30.38,,
2004-09-01,30.45,,
2004-09-02,30.95,,
2004-09-03,30.9,,
2004-09-07,31.15,,
2004-09-08,31.05,,
2004-09-09,30.88,,
2004-09-10,31.16,,
2004-09-13,31.26,,
2004-09-14,31.41,,
2004-09-15,31.24,,
2004-09-16,31.4,,
2004-09-17,31.4,,
2004-09-20,31.22,,
2004-09-21,31.4,,
2004-09-22,31.04,,
2004-09-23,31.07,,
2004-09-24,31.2,,
2004-09-27,30.96,,
2004-09-28,30.96,,
2004-09-29,31.11,,
2004-09-30,31.22,,
2004-10-01,31.62,,
2004-10-04,31.87,,
2004-10-05,31.81,,
2004-10-06,32.02,,
2004-10-07,31.79,,
2004-10-08,31.53,,
2004-10-11,31.67,,
2004-10-12,31.59,,
2004-10-13,31.52,,
2004-10-14,31.24,,
2004-10-15,31.39,,
2004-10-18,31.67,,
2004-10-19,31.46,,
2004-10-20,31.32,,
2004-10-21,31.61,,
2004-10-22,31.32,,
2004-10-25,31.24,,
2004-10-26,31.78,,
2004-10-27,32.28,,
2004-10-28,32.49,,
2004-10-29,32.49,,
2004-11-01,32.58,,
2004-11-02,32.69,,
2004-11-03,32.84,,
2004-11-04,33.53,,
2004-11-05,33.67,,
2004-11-08,33.62,,
2004-11-09,33.64,,
2004-11-10,33.64,,
2004-11-11,33.96,,
2004-11-12,34.25,,
2004-11-15,34.34,,
2004-11-16,33.97,,
2004-11-17,34.06,,
2004-11-18,34.16,,
2004-11-19,33.72,,
2004-11-22,33.98,,
2004-11-23,34.18,,
2004-11-24,34.36,,
2004-11-26,34.38,,
2004-11-29,34.17,,
2004-11-30,33.82,,
2004-12-01,34.37,,
2004-12-02,34.39,,
2004-12-03,34.27,,
2004-12-06,34.21,,
2004-12-07,33.96,,
2004-12-08,34.18,,
2004-12-09,34.45,,
2004-12-10,34.37,,
2004-12-13,34.53,,
2004-12-14,34.71,,
2004-12-15,34.84,,
2004-12-16,34.76,,
2004-12-17,34.45,,
2004-12-20,34.46,,
2004-12-21,34.67,,
2004-12-22,34.89,,
2004-12-23,34.83,,
2004-12-27,34.85,,
2004-12-28,35.27,,
2004-12-29,35.3,,
2004-12-30,35.38,,
2004-12-31,35.29,,
2005-01-03,35.11,,
2005-01-04,34.67,,
2005-01-05,34.53,,
2005-01-06,34.38,,
2005-01-07,34.33,,
2005-01-10,34.47,,
2005-01-11,34.25,,
2005-01-12,34.46,,
2005-01-13,34.19,,
2005-01-14,34.5,,
2005-01-18,34.78,,
2005-01-19,34.46,,
2005-01-20,33.84,,
2005-01-21,33.68,,
2005-01-24,33.4,,
2005-01-25,33.49,,
2005-01-26,33.66,,
2005-01-27,33.58,,
2005-01-28,33.45,,
2005-01-31,33.82,,
2005-02-01,33.77,,
2005-02-02,33.93,,
2005-02-03,33.86,,
2005-02-04,34.16,,
2005-02-07,34.21,,
2005-02-08,34.13,,
2005-02-09,33.78,,
2005-02-10,33.89,,
2005-02-11,34.12,,
2005-02-14,34.05,,
2005-02-15,34.33,,
2005-02-16,34.27,,
2005-02-17,34.08,,
2005-02-18,33.99,,
2005-02-22,33.35,,
2005-02-23,33.54,,
2005-02-24,33.61,,
2005-02-25,33.77,,
2005-02-28,33.67,,
2005-03-01,33.99,,
2005-03-02,33.99,,
2005-03-03,33.97,,
2005-03-04,34.21,,
2005-03-07,34.33,,
2005-03-08,34.09,,
2005-03-09,33.72,,
2005-03-10,33.8,,
2005-03-11,33.68,,
2005-03-14,33.83,,
2005-03-15,33.85,,
2005-03-16,33.6,,
2005-03-17,33.61,,
2005-03-18,33.45,,
2005-03-21,33.28,,
2005-03-22,33.01,,
2005-03-23,32.87,,
2005-03-24,32.88,,
2005-03-28,33.08,,
2005-03-29,32.78,,
2005-03-30,33.21,,
2005-03-31,33.22,,
2005-04-01,32.91,,
