run_at,status,vix_status,cnn_status,rows_written,error_message
2026-06-26T19:44:07Z,success,ok,failed,2,
2026-06-26T20:01:46Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-06-26T22:47:08Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-06-29T22:37:57Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-06-30T22:52:27Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-01T22:49:43Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-02T22:39:29Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-03T22:36:29Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-06T22:46:01Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-07T22:40:09Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-08T22:34:58Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-09T22:51:17Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-10T22:33:54Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-13T22:30:11Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-14T22:32:21Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
2026-07-15T22:32:39Z,success,ok,failed,2,CNN Fear & Greed unavailable: HTTP 418 from CNN graphdata endpoint
