date,vix,level,source,status,error_message,change_1d,change_5d,change_20d,updated_at
2026-06-26,18.41,normal,yfinance,ok,,,,,2026-06-26
2026-06-29,17.65,normal,yfinance,ok,,-0.76,,,2026-06-29
2026-06-30,16.45,normal,yfinance,ok,,-1.20,,,2026-06-30
2026-07-01,16.59,normal,yfinance,ok,,0.14,,,2026-07-01
2026-07-02,16.15,normal,yfinance,ok,,-0.44,,,2026-07-02
2026-07-03,15.81,normal,yfinance,ok,,-0.34,-2.60,,2026-07-03
2026-07-06,15.57,normal,yfinance,ok,,-0.24,-2.08,,2026-07-06
2026-07-07,16.13,normal,yfinance,ok,,0.56,-0.32,,2026-07-07
2026-07-08,16.90,normal,yfinance,ok,,0.77,0.31,,2026-07-08
2026-07-09,15.84,normal,yfinance,ok,,-1.06,-0.31,,2026-07-09
2026-07-10,15.03,normal,yfinance,ok,,-0.81,-0.78,,2026-07-10
2026-07-13,17.16,normal,yfinance,ok,,2.13,1.59,,2026-07-13
2026-07-14,16.50,normal,yfinance,ok,,-0.66,0.37,,2026-07-14
2026-07-15,15.67,normal,yfinance,ok,,-0.83,-1.23,,2026-07-15
2026-07-16,16.73,normal,yfinance,ok,,1.06,0.89,,2026-07-16
2026-07-17,18.77,normal,yfinance,ok,,2.04,3.74,,2026-07-17
2026-07-20,18.65,normal,yfinance,ok,,-0.12,1.49,,2026-07-20
2026-07-21,17.05,normal,yfinance,ok,,-1.60,0.55,,2026-07-21
2026-07-22,16.64,normal,yfinance,ok,,-0.41,0.97,,2026-07-22
2026-07-23,18.70,normal,yfinance,ok,,2.06,1.97,,2026-07-23
2026-07-24,18.58,normal,yfinance,ok,,-0.12,-0.19,0.17,2026-07-24
2026-07-27,18.67,normal,yfinance,ok,,0.09,0.02,1.02,2026-07-27
2026-07-28,18.21,normal,yfinance,ok,,-0.46,1.16,1.76,2026-07-28
2026-07-29,20.66,risk_off,yfinance,ok,,2.45,4.02,4.07,2026-07-29
2026-07-30,17.09,normal,yfinance,ok,,-3.57,-1.61,0.94,2026-07-30
2026-07-31,15.99,normal,yfinance,ok,,-1.10,-2.59,0.18,2026-07-31
2026-08-03,15.86,normal,yfinance,ok,,-0.13,-2.81,0.29,2026-08-03
2026-08-04,16.50,normal,yfinance,ok,,0.64,-1.71,0.37,2026-08-04
