run_id,started_at,completed_at,source_id,mode,window_start,window_end,pages_requested,items_fetched,keep_count,review_count,reject_count,raw_file,status,error_message
news_backfill_20260614T021325Z,2026-06-14T02:13:25Z,2026-06-14T02:24:45Z,semiengineering,dry_run,2026-05-15T02:13:25Z,2026-06-14T02:13:25Z,462,122,19,20,83,,success,
news_backfill_20260614T120453Z,2026-06-14T12:04:53Z,2026-06-14T12:15:55Z,semiengineering,backfill,2026-05-15T12:04:53Z,2026-06-14T12:04:53Z,462,121,18,20,83,/home/gooder/investment_os/data/news/raw/semiengineering/backfill_20260614T120453Z.json,success,
news_backfill_20260614T124056Z,2026-06-14T12:40:56Z,2026-06-14T12:52:43Z,semiengineering,backfill,2026-05-15T12:40:56Z,2026-06-14T12:40:56Z,462,121,18,20,83,/home/gooder/investment_os/data/news/raw/semiengineering/backfill_20260614T124056Z.json,success,
news_backfill_20260614T125314Z,2026-06-14T12:53:14Z,2026-06-14T12:53:22Z,semiengineering,reprocess_raw,2026-05-15T12:40:56Z,2026-06-14T12:40:56Z,0,121,18,20,83,data/news/raw/semiengineering/backfill_20260614T124056Z.json,success,
news_backfill_20260616T015347Z,2026-06-16T01:53:47Z,2026-06-16T01:53:56Z,semiengineering,reprocess_raw,2026-05-15T12:40:56Z,2026-06-14T12:40:56Z,0,121,34,21,66,data/news/raw/semiengineering/backfill_20260614T124056Z.json,success,
news_backfill_20260616T015648Z,2026-06-16T01:56:48Z,2026-06-16T01:57:04Z,semiengineering,backfill,2026-05-17T01:56:48Z,2026-06-16T01:56:48Z,3,125,34,23,69,data/news/raw/semiengineering/backfill_20260616T015648Z.json,success,
news_backfill_20260616T021055Z,2026-06-16T02:10:55Z,2026-06-16T02:11:10Z,semiengineering,backfill,2026-05-17T02:10:55Z,2026-06-16T02:10:55Z,2,125,33,23,69,data/news/raw/semiengineering/backfill_20260616T021055Z.json,success,
news_backfill_20260616T150018Z,2026-06-16T15:00:18Z,2026-06-16T15:00:29Z,semiengineering,reprocess_raw,2026-05-17T02:10:55Z,2026-06-16T02:10:55Z,0,125,33,23,69,data/news/raw/semiengineering/backfill_20260616T021055Z.json,success,
news_backfill_20260616T150115Z,2026-06-16T15:01:15Z,2026-06-16T15:01:26Z,semiengineering,reprocess_raw,2026-05-17T02:10:55Z,2026-06-16T02:10:55Z,0,125,33,23,69,data/news/raw/semiengineering/backfill_20260616T021055Z.json,success,
news_backfill_20260620T143556Z,2026-06-20T14:35:56Z,2026-06-20T14:36:08Z,semiengineering,reprocess_raw,2026-05-17T02:10:55Z,2026-06-16T02:10:55Z,0,125,33,23,69,data/news/raw/semiengineering/backfill_20260616T021055Z.json,success,
news_backfill_20260625T210839Z,2026-06-25T21:08:39Z,2026-06-25T21:08:49Z,semiengineering,reprocess_raw,2026-05-17T02:10:55Z,2026-06-16T02:10:55Z,0,125,38,14,73,data/news/raw/semiengineering/backfill_20260616T021055Z.json,success,
news_backfill_20260625T211634Z,2026-06-25T21:16:34Z,2026-06-25T21:16:41Z,semiengineering,backfill,2026-06-18T21:16:34Z,2026-06-25T21:16:34Z,2,29,6,4,19,data/news/raw/semiengineering/backfill_20260625T211634Z.json,success,
news_backfill_20260627T055922Z,2026-06-27T05:59:22Z,2026-06-27T05:59:28Z,semiengineering,backfill,2026-06-20T05:59:22Z,2026-06-27T05:59:22Z,2,29,6,5,18,data/news/raw/semiengineering/backfill_20260627T055922Z.json,success,
