term_id,name,slug,count,updated_at
6,Mentor Graphics,mentor-graphics,1907,2026-06-14T12:52:34Z
7,Synopsys,synopsys,4701,2026-06-14T12:52:34Z
8,Cadence,cadence,4057,2026-06-14T12:52:34Z
9,Real Intent,real-intent,164,2026-06-14T12:52:34Z
10,verification,verification,1241,2026-06-14T12:52:34Z
11,formal verification,formal-verification,250,2026-06-14T12:52:34Z
12,UVM,uvm,158,2026-06-14T12:52:34Z
13,SystemVerilog,systemverilog,64,2026-06-14T12:52:34Z
14,emulation,emulation,342,2026-06-14T12:52:34Z
15,simulation,simulation,492,2026-06-14T12:52:34Z
16,Wide I/O,wide-io,24,2026-06-14T12:52:34Z
17,Open-Silicon,open-silicon,161,2026-06-14T12:52:34Z
18,Arteris,arteris,607,2026-06-14T12:52:34Z
19,memory,memory,588,2026-06-14T12:52:34Z
20,Micron,micron,377,2026-06-14T12:52:34Z
21,Samsung,samsung,1198,2026-06-14T12:52:34Z
22,IBM,ibm,890,2026-06-14T12:52:34Z
23,Hybrid Memory Cube,hybrid-memory-cube,56,2026-06-14T12:52:34Z
24,stacked die,stacked-die,264,2026-06-14T12:52:34Z
25,3D-IC,3d-ic,493,2026-06-14T12:52:34Z
26,TSV,tsv,49,2026-06-14T12:52:34Z
27,DRAM,dram,524,2026-06-14T12:52:34Z
28,SRAM,sram,154,2026-06-14T12:52:34Z
29,supply chain,supply-chain,160,2026-06-14T12:52:34Z
30,eSilicon,esilicon,523,2026-06-14T12:52:34Z
31,EDS2ASIC,eds2asic,1,2026-06-14T12:52:34Z
32,IP,ip,886,2026-06-14T12:52:34Z
33,Dassault Systemes,dassault-systemes,28,2026-06-14T12:52:34Z
34,system-level design,system-level-design,191,2026-06-14T12:52:34Z
35,system-level engineering,system-level-engineering,2,2026-06-14T12:52:34Z
36,semiconductor engineering,semiconductor-engineering,19,2026-06-14T12:52:34Z
37,GPUs,gpus,122,2026-06-14T12:52:34Z
38,CPUs,cpus,59,2026-06-14T12:52:34Z
39,heterogeneous computing,heterogeneous-computing,25,2026-06-14T12:52:34Z
40,ARM,arm,2652,2026-06-14T12:52:34Z
41,Sonics,sonics,432,2026-06-14T12:52:34Z
42,TSMC,tsmc,1191,2026-06-14T12:52:34Z
43,OpenCL,opencl,14,2026-06-14T12:52:34Z
44,Heterogeneous System Architecture Foundation,heterogeneous-system-architecture-foundation,2,2026-06-14T12:52:34Z
45,RenderScript,renderscript,1,2026-06-14T12:52:34Z
46,security,security,1088,2026-06-14T12:52:34Z
47,software,software,507,2026-06-14T12:52:34Z
49,EUV,euv,565,2026-06-14T12:52:34Z
50,lithography,lithography,364,2026-06-14T12:52:34Z
51,double patterning,double-patterning,96,2026-06-14T12:52:34Z
52,14nm,14nm,233,2026-06-14T12:52:34Z
53,16nm,16nm,149,2026-06-14T12:52:34Z
54,finFETs,finfets,513,2026-06-14T12:52:34Z
55,NXP,nxp,552,2026-06-14T12:52:34Z
56,GlobalFoundries,globalfoundries,1101,2026-06-14T12:52:34Z
57,Moore's Law,moores-law,493,2026-06-14T12:52:34Z
58,electromigration,electromigration,157,2026-06-14T12:52:34Z
59,ESD,esd,85,2026-06-14T12:52:34Z
60,EM,em,21,2026-06-14T12:52:34Z
61,SoC prototyping,soc-prototyping,1,2026-06-14T12:52:34Z
62,virtual prototyping,virtual-prototyping,107,2026-06-14T12:52:34Z
63,hardware acceleration,hardware-acceleration,16,2026-06-14T12:52:34Z
64,FPGA prototyping,fpga-prototyping,79,2026-06-14T12:52:34Z
65,Freescale,freescale,103,2026-06-14T12:52:34Z
66,Virtutech,virtutech,2,2026-06-14T12:52:34Z
67,Wind River,wind-river,12,2026-06-14T12:52:34Z
68,Intel,intel,1961,2026-06-14T12:52:34Z
69,TI OMAP,ti-omap,1,2026-06-14T12:52:34Z
70,expérience,experience,1,2026-06-14T12:52:34Z
71,design for experience,design-for-experience,1,2026-06-14T12:52:34Z
72,Apple,apple,603,2026-06-14T12:52:34Z
73,Cisco,cisco,179,2026-06-14T12:52:34Z
74,STMicroelectronics,stmicroelectronics,389,2026-06-14T12:52:34Z
75,Tensilica,tensilica,132,2026-06-14T12:52:34Z
76,Internet of Things,internet-of-things,202,2026-06-14T12:52:34Z
77,GSA,gsa,40,2026-06-14T12:52:34Z
79,IP subsystems,ip-subsystems,8,2026-06-14T12:52:34Z
80,IP reuse,ip-reuse,43,2026-06-14T12:52:34Z
81,PCIe,pcie,140,2026-06-14T12:52:34Z
82,PHI,phi,1,2026-06-14T12:52:34Z
83,Bluetooth,bluetooth,64,2026-06-14T12:52:34Z
84,ARC processors,arc-processors,3,2026-06-14T12:52:34Z
85,SoC subsystems,soc-subsystems,1,2026-06-14T12:52:34Z
86,system engineering,system-engineering,3,2026-06-14T12:52:34Z
87,behavioral modeling,behavioral-modeling,4,2026-06-14T12:52:34Z
88,functional modeling,functional-modeling,1,2026-06-14T12:52:34Z
89,Mathworks,mathworks,25,2026-06-14T12:52:34Z
90,architectural exploration,architectural-exploration,1,2026-06-14T12:52:34Z
91,Atrenta,atrenta,424,2026-06-14T12:52:34Z
92,process variation,process-variation,78,2026-06-14T12:52:34Z
93,signoff,signoff,57,2026-06-14T12:52:34Z
94,timing,timing,69,2026-06-14T12:52:34Z
95,reset,reset,8,2026-06-14T12:52:34Z
96,network on chip,network-on-chip,131,2026-06-14T12:52:34Z
97,NoC,noc,161,2026-06-14T12:52:34Z
98,integration,integration,65,2026-06-14T12:52:34Z
99,formal verification technology,formal-verification-technology,2,2026-06-14T12:52:34Z
100,formal property checking,formal-property-checking,3,2026-06-14T12:52:34Z
101,Hewlett-Packard,hewlett-packard,16,2026-06-14T12:52:34Z
102,assertions,assertions,57,2026-06-14T12:52:34Z
103,SoC integration,soc-integration,9,2026-06-14T12:52:34Z
104,system-level specifications,system-level-specifications,1,2026-06-14T12:52:34Z
105,standards,standards,257,2026-06-14T12:52:34Z
106,design topology,design-topology,1,2026-06-14T12:52:34Z
107,clock gating,clock-gating,42,2026-06-14T12:52:34Z
108,register gating,register-gating,1,2026-06-14T12:52:34Z
