ticker,market_cap,revenue,revenue_growth,gross_margin,operating_margin,forward_pe,trailing_pe,ev_to_revenue,updated_at,growth_score,gross_margin_score,operating_margin_score,forward_pe_score,ev_to_revenue_score,total_score
NVDA,5114022068224,253491003392,0.852,0.74144995,0.65596,16.681019,32.383434,19.998,2026-05-30,38.24,95.43,100.0,100.0,52.21,72.69
CRDO,43535716352,1068137984,2.015,0.67825997,0.36761,42.791927,129.68681,39.555,2026-05-30,100.0,84.23,52.05,0.0,0.0,62.26
TSM,2170280083456,4103904165888,0.351,0.61873,0.58105,21.44058,35.8569,2.096,2026-05-30,11.63,73.69,87.54,81.77,100.0,58.58
AVGO,2115307700224,68281999360,0.295,0.76725996,0.44943002,24.227072,86.920235,31.739,2026-05-30,8.66,100.0,65.66,71.1,20.87,48.91
ANET,200799748096,9709899776,0.351,0.63537,0.42738998,35.83974,54.989655,19.408,2026-05-30,11.63,76.63,61.99,26.63,53.78,41.17
CEG,103932436480,29866999808,0.638,0.23263,0.21858,21.120787,25.0,4.214,2026-05-30,26.87,5.28,27.27,83.0,94.35,37.8
ASML,621586219008,33692700672,0.132,0.52603,0.36020002,33.82436,53.758667,18.28,2026-05-30,0.0,57.26,50.82,34.34,56.8,32.45
ETN,155552989184,28522000384,0.168,0.37105,0.16104999,25.480738,39.19765,6.194,2026-05-30,1.91,29.8,17.7,66.3,89.06,29.02
VRT,121266987008,10843400192,0.301,0.37151,0.16364999,35.726772,79.32412,11.254,2026-05-30,8.98,29.89,18.13,27.06,75.55,24.36
GEV,260206952448,39374999552,0.163,0.20282,0.05461,39.504578,28.330017,6.485,2026-05-30,1.65,0.0,0.0,12.59,88.28,11.29
