subtheme,daily_return,weekly_return,monthly_return,volume_ratio,daily_score,weekly_score,monthly_score,volume_score,sector_strength_score,updated_at
Memory,0.0864475234457916,0.21491813617482053,0.4632305450974239,0.8074610085942395,94.44444444444444,100.0,100.0,38.88888888888889,92.78,2026-06-15
Optical,0.05455713040096015,0.0983630519722087,0.213845059684569,0.8311978192224455,66.66666666666666,88.88888888888889,88.88888888888889,50.0,80.56,2026-06-15
Networking,0.0570767907839069,0.04792501731237283,0.24382195272063675,0.8364541946204901,72.22222222222221,72.22222222222221,94.44444444444444,55.55555555555556,77.22,2026-06-15
Optical Test & Metrology,0.06079313937720976,0.17232463263081313,0.0897474510498325,0.7743899505252333,77.77777777777779,94.44444444444444,61.111111111111114,27.77777777777778,74.44,2026-06-15
Equipment,0.0156207156174141,0.0821136119869325,0.1944765400754033,1.221064847685572,27.77777777777778,83.33333333333334,83.33333333333334,100.0,73.89,2026-06-15
NeoCloud,0.07557832025928947,0.04827608924364533,0.03169884947497057,0.8059404047818531,88.88888888888889,77.77777777777779,44.44444444444444,33.33333333333333,65.56,2026-06-15
Foundry,0.0412096372574046,0.0366300245536583,0.0591632799055117,0.9017895374093532,61.111111111111114,61.111111111111114,50.0,77.77777777777779,59.44,2026-06-15
Quantum Hardware,0.08773612700620624,0.011270034260037434,0.1430589492869889,0.8240086932687354,100.0,33.33333333333333,72.22222222222221,44.44444444444444,59.44,2026-06-15
Energy,0.0338509291560071,0.0465951570586371,-0.0454203147152567,0.8807680987921873,33.33333333333333,66.66666666666666,33.33333333333333,72.22222222222221,50.56,2026-06-15
Power,0.03692787774873327,0.031980554263391935,-0.09188725177373543,0.9221456538710591,50.0,55.55555555555556,27.77777777777778,88.88888888888889,49.44,2026-06-15
Cloud Software,0.0138756090739289,0.0060859966621398,0.1491323237336761,0.9126053924934252,22.22222222222222,22.22222222222222,77.77777777777779,83.33333333333334,45.0,2026-06-15
AI-RAN,0.0013513178264603,0.0157641905298768,0.0248962417515581,0.9811576312440492,16.666666666666664,38.88888888888889,38.88888888888889,94.44444444444444,40.0,2026-06-15
SMR,0.0661828711801176,0.0096935893661175,-0.10700500595911525,0.843667253590783,83.33333333333334,27.77777777777778,16.666666666666664,61.111111111111114,38.89,2026-06-15
GPU,0.03538181402824,0.018261107983797,-0.0977449850539209,0.7493555140770276,44.44444444444444,44.44444444444444,22.22222222222222,22.22222222222222,35.56,2026-06-15
Nuclear Fuel,0.0398936424861402,0.0282708944179705,-0.1979487003424228,0.6219188547679005,55.55555555555556,50.0,11.11111111111111,11.11111111111111,35.56,2026-06-15
Developer Tools,0.0342296263397874,-0.0647665377201039,0.1322038382477792,0.5702442483741578,38.88888888888889,16.666666666666664,66.66666666666666,5.555555555555555,35.0,2026-06-15
Space Infrastructure,-0.0191798918021158,-0.2014000986850078,0.0600428996662343,0.6294002573187882,5.555555555555555,5.555555555555555,55.55555555555556,16.666666666666664,21.67,2026-06-15
Satellite Data,-0.0182985458043197,-0.0659743935255012,-0.289498158150042,0.8639778587743323,11.11111111111111,11.11111111111111,5.555555555555555,66.66666666666666,15.0,2026-06-15
